"","story_id","province_human","province_ICEWS","cleantext"
"1",25501726,"sichuan","sichuan","center learn   N ACTAR  at  gaoshengqiao motor repair shop  sub_sichuan ADMINN of sichuan ADMINN  AVERB N of  key highway in sub_sichuan  morn in AVERB of  failur to receiv wage for N  MONZ s.at last   ACTAR  AVERB    N polic ACTAR   and    polic ACTAR AVERB at  DIRECTZ  N ACTAR   and   arrest anoth N. public secur depar ACTAR   and    motor repair shop inform  center of  SOURZ. t  NONTOPIC   motor repair shop   larg state own enterpris  and    N incumb  and   retir ACTAR .thus far   motor repair shop   paid wage to  ACTAR  for N  MONZdue to  shop  poor econom result  and   suspect corrupt by  leadership echelon.from N today    N ACTAR  from  motor repair shop AVERB  street near  gaosheng overpass on  N ring road  and    loud AVERB slogan of oppos corrupt  and   request wage pa ACTAR s. N ring road   vital communic line of sub_sichuan.from N    N polic ACTAR from  wuhou public secur sub bureau   jiangxi street ACTAR substat   and    sub_sichuan ADMINN antiriot brigad began to clear  site.   polic ACTAR AVERB   ACTAR .accord to wit   polic ACTAR AVERB at  DIRECTZ  N ACTAR   includ  femal ACTAR   and   arrest anoth N ACTAR   N of   call yao dan. name of   N  unknown. .N traffic ACTAR sub bureau of sub_sichuan   wuhou public secur sub bureau   jiangxi street ACTAR substat   and    motor repair shop  inform us of  demonstration.  public secur depar ACTARrefus to disclos  venu   ACTAR   detained. motor repair shop inform us  yao dan  taken away by  polic ACTAR  and       ACTAR at  nan divis of  gaoshengqiao motor repair shop. ccord to  chines author  N ACTAR  will  laid  from state own enterpris in N year  ACTAR  access to  wto.  obvious   will  increas  AVERB  ACTAR   and   plants.sinc ACTAR   allow ACTAR  to organ independ trade union  ACTAR   hold dialogu  plants.AVERB  street    way  ACTAR   protesting.howev  AVERB road  MONZ  lead to AVERB  and   conflict  polic ACTAR  and   civilian  stop  traffic   and   bring transport inconveni to people.unfortun case  MONZ  take place occasion just like  N in sub_shanxi  shanxi  on N  MONZ   N ACTAR   knock  by vehicl  and   serious AVERB  demonstrations.    ACTAR   allow to organ trade union will   abl to embark on  path of resolv question peacefully.moreov   AVERB result from strong dissatisfact  corruption. independ trade union  abl to effect supervis  corrupt of plant  leadership echelons...attac ACTAR s"
"2",16963447,"sichuan","shanxi","construct of  metallurg plant in sout DIRECTZ  ACTAR  halt DAYZ  follow AVERB by resid  fear  pollut    creat   local gover ACTAR  NONTOPIC.  sichuan hongda ACTAR factori in  ADMINN of sub_sichuan in sichuan ADMINN  to  produc metal alloys. face   lack of understand  and   opposit from  local population.. committe of   communist  ACTAR  and   of  ADMINN gover ACTAR   decid to ask  ACTAR to halt construct  NONTOPIC  stat ACTAR  post on  local gover ACTAR  website. photo post on sina weibo   popular chines microblog  show crowd of at  DIRECTZ  N peopl AVERB   construct of  factory.  gover ACTAR  also NONTOPIC  format of  work ACTAR task  collect opinion  and   suggest from resid   project.   common in ACTAR for enviro ACTAR al concern to take  backseat to growth  and   industrialis   sometim result in protests. in  MONZ   AVERB broke out  ACTAR  and   oppon of  construct of  thermal power plant in  DIRECTZ  ADMINN of sub_jiangsu. sometim  author  forc to abandon  modifi plan  face  public opposition. in N   factori  produc solar panel  temporarili suspend in  DIRECTZ  ADMINN of sub_zhejiang follow AVERB   resid of  nort DIRECTZ  ADMINN of sub_liaoning  success in halt  plan petrochem plant . boc ia txw"
"3",22834745,"guangdong","guangdong","N ACTAR  of  ACTAR fund textil factori in sub_guangdong yesterday AVERB  AVERB  delay salari pa ACTARand new contract    NONTOPIC manag ACTAR  forc on  ACTAR  at glad ga ACTARin yantian ADMINN AVERB  AVERB in outsid  factory. later  MONZ ed to  gover ACTAR  ADMINN  and   demand local author interven ACTAR  claim manag ACTAR    paid  for overtim  and   NONTOPIC  last week tri to forc  to accept contract  will chang part of  salari  discretionari bonuses. ADMINN gover ACTAR  sent ACTAR to help negotiate. factori agre to let ACTAR  decid    will to sign  new contract  and   NONTOPIC   pay  delay pa ACTAR s. crowd dispers without incident."
"4",25942100,"liaoning","NA","ACTAR follow of  falungong spiritu ACTAR began  hunger AVERB DAYZ  in solidar  N fellow member AVERB  similar AVERB on  chines mainland. pokeswoman hui yee han NONTOPIC SOURZ  ACTAR  threaten  ACTAR   prosecut for AVERB minut   N member start  indefinit AVERB outsid  chines liaison ADMINN .  NONTOPIC ACTAR NONTOPIC  ACTAR    AVERB  pav ACTAR   and      nuisanc to  pedestrian  and    public.  ACTAR warn us  NONTOPIC    don t leav   will prosecut us   NONTOPIC.  hunger AVERB in ACTAR mirror similar AVERB carri out outsid  chines embassi in new york  washington  and   london. hey  inspir by  ACTAR of  N follow held in masanjia labor camp in ACTAR  liaoning ADMINN   practition    on  hunger AVERB for N week    illeg detain  and     basic human right violat  hui NONTOPIC  ad    close to AVERB. alungong combin ACTAR base philosophi  and   slow motion medit exercis   and   advoc NONTOPIC  promot clean live  and   good health. t  ban by  chines gover ACTAR  in  MONZ  N in  move seen by N analyst   sign top leader fear  abil to ACTAR lise vast number of ACTAR . ut  mov ACTAR   still legal in ACTAR  enjoy  larg degre of autonomi from beijing   term of  N handov agr ACTAR   saw sovereignti transfer from britain to ACTAR"
"5",5953958,"fujian","beijing","chines ACTAR  and   hire thug in  sout DIRECTZ  ADMINN of fujian assault  ACTAR of peasant in  disput   factori   ACTAR NONTOPIC. peasant AVERB  AVERB in AVERB  gover ACTAR  seizur of  ADMINN factori  attack on  MONZ .N by   N ACTAR   and   N ACTAR recent releas from labour reform camp  human right in ACTAR  hric  NONTOPIC. at  DIRECTZ  N peopl  AVERB in  attack.  of  ACTAR  attack  w ACTAR   and   condit .. deterior     poor to afford  necessari medic tea ACTAR    NONTOPIC. ACTAR   pool money to buy  N sq m  N sq ft  factori   local gover ACTAR  took   without offer  compens   ACTAR NONTOPIC.   MONZ .N attack    recent in  string of scare tactic by ACTAR in  ADMINN   added. on  MONZ  N   total of   N ACTAR   and   unidentifi civilian AVERB man ADMINN  and   AVERB  ACTAR  regardless of sex  age.N woman commit suicid ..to AVERB   hric SOURZ NONTOPIC.  ACTAR   sent  open letter to  ADMINN  and   DIRECTZ  gover ACTARcall for investig   NONTOPIC.  chines gover ACTAR   care investig  alleg .. and   carri out whatev measur  necessari to address  act of injustic  hric presid ACTAR g NONTOPIC.  letter  seen   last resort effort to secur offici recognit of  ACTAR  plight. local ACTAR declin to co ACTAR  on  case. recent  N peopl involv in AVERB in fujian  capit  given sentenc rang from N  MONZto N year for disturb  public order   gover ACTAR  web site NONTOPIC.  onlin co ACTAR ator AVERB  puni ACTAR call on  gover ACTAR  to learn from ACTAR  macau  and   singapore.   gover ACTAR   love  ACTAR   and   fair enforc  law can win  trust of  people. shouldn t use  puni ACTARto repress  peopl   co ACTAR ator NONTOPIC.   N peopl AVERB  N AVERB across ACTAR last year AVERB  corrupt  forcibl land seizur  and   unpaid wages. author frown on public dissent  and   often arrest  and   jail leader of  mov ACTAR s."
"6",10813697,"guangdong","guangdong","dozen famili member of  ACTAR shot AVERB  week by sub_guangdong ACTAR AVERB outsid ADMINN gover ACTAR  ADMINN  yesterday  NONTOPIC ACTAR of tri to NONTOPIC   shooting.  ACTAR   includ  wife  and   N year old daughter of yin fangm   ask ADMINN leader to tight monitor  investig    main in  hand of ACTAR famili  and   colleagu fear  ACTAR  will skew  investig  and   blame  AVERB on  ACTAR   ACTAR  AVERB at  ADMINN  at  N.Nam   relat hold placard bear  charact for clear doctor yin  name.   touch .   go anywher  and      fear anyon  even  ACTAR  yin  widow  chen yan   AVERB at ACTAR tri to usher  ACTAR    street  and     ADMINN for talks. yin  N   associ ACTAR in zhujiang hospit  neurosurgeri depar ACTAR    shot AVERB at  Nam on DAYZ   ACTAR question    number plate on  vehicle. despit  ADMINN ban on coverag of  shoot  yin  AVERB  generat  AVERB of controversi in sub_guangdong.  ADMINN  public secur bureau issu  brief public stat ACTAR  on  case on DAYZ  morn  NONTOPIC ACTAR  forc to shoot at  ACTAR   tri to evad question by N ACTAR   and   drive . NONTOPIC yin  grab  ACTAR  staff ident card  and   drag  ACTAR   for N metres.  yin  famili  and   colleagu NONTOPIC ACTAR  lie  and    want to talk to  passeng in  car  wang yanm    friend of yin  and     wit     ACTAR  NONTOPIC ACTAR   respond to request to question  man. mr wang  taken away by ACTAR on DAYZ  morn to help   inquiri   and    brother  wang  MONZ    saw  in  ADMINN  of  haizhu ADMINN public secur bureau at  Nam on DAYZ .   N   even  lawyer hire by  hospit for yin  famili    abl to contact  since.  hospit sourc NONTOPIC wang yanm  believ to   AVERB in yin  car discuss trea ACTAR  for  AVERB father  yin  shot. yin  famili  and   colleagu NONTOPIC wang yanm   N person   clear yin  name   version of  shoot conflict   ACTAR stat ACTAR .  emerg room doctor NONTOPIC N of  colleagu heard wang yanm give  stat ACTAR  to ACTAR  and   admit yin  taken  ACTAR  staff ident card   ACTAR  taken  of  papers.    ACTAR ion yin  car AVERB  drag  ACTAR  ms chen NONTOPIC   and   wang  MONZ   repeat ask investig  wang yanm  whereabout  and       released.   ACTAR NONTOPIC    idea  and     answer  question without ask for instruct from higher .  N  NONTOPIC us  mr wang   kept in ACTAR custodi for   long time  ms chen NONTOPIC. yin  relat NONTOPIC  ACTAR of public secur  sent  supervisori team to sub_guangdong to monitor  investigation. beijing base lawyer mo shaop NONTOPIC wang  MONZ   demand ACTAR give   reason for keep  brother in custodi for almost N days. NONTOPIC ACTAR  detain wit for question for    N hours.suspect   kept for  to N days."
"7",22285172,"beijing,shandong,hunan","shandong","follow highlight  from boxun xinwen wang  wen wei po for  period N  MONZ  N. N prc ACTAR  AVERB forc demolit of household  and   depriv of labor rights. boxun xinwen wang  N N  of  new york boxun SOURZ network   us base  self NONTOPIC non profit chines languag SOURZ websit reli on  loos network of volunt NONTOPIC  note  on N  MONZ    N mainland ACTAR  AVERB  mass AVERB in front of  beijing gover ACTAR  build to AVERB  forc demolit of household  and   depriv of labor rights.  and   to demand protect of human rights.accord to  websit   N hour AVERB. monitor by secur forc at  scene. end peacefully. to  process  cppN  guangdong ADMINN feel  strain of local plant closures. prc own ACTAR daili wen wei po  N N  note  figur releas by gover ACTAR  organ in guangdong ADMINN indic    at  DIRECTZ  N enterpris closur  and   case of unpaid salari in  ADMINN of sub_guangdong alon in  MONZ   and    MONZ .accord to  SOURZ  in respons  gover ACTARof various ADMINN in  zhujiang delta  dispatch ad hoc ACTAR  to close monitor local enterpris  factories.  and    owners. see vernacular file. wwpNt.df  ACTAR AVERB lead to  MONZ arat AVERB in shandong  and   hunan ADMINN .  ACTAR inform center for human right   democraci  N N    ACTAR base fax servic  NONTOPIC on dissid  AVERB  and   human right violat in ACTAR  NONTOPIC  on N  MONZ    N peopl in sub_shandong ADMINN  shandong ADMINN   AVERB sub_shandong ADMINN gover ACTAR  ADMINN  to AVERB  and   demand justic in  case of  pedicab driver whose relat suspect  AVERB to AVERB by law enforc ACTAR    detent at  ADMINN  administr law enforc ACTAR  bureau.in   MONZ arat incid  on N  MONZ   furious relat of  man in hunan ADMINN    AVERB unconsci by ACTAR  AVERB key localhighway in AVERB  paralyz traffic. to  process  cppN    see vernacular file. icN.df  attac ACTAR s"
"8",1517019,"heilongjiang","beijing","N angri textil ACTAR  AVERB  railway line in nort DIRECTZ  ACTAR on DAYZ  demand unpaid wage  and   unemplo ACTAR  pay from  gover ACTAR   NONTOPIC railway ACTAR   saw  AVERB.   N to N of  AVERB  railway. stood on  railway    later dispers  NONTOPIC  man  work at  railway station in sub_heilongjiang in  nort DIRECTZ  ADMINN of heilongjiang.  train to beijing  therefor delay N to N minut in leav   NONTOPIC.  AVERB  similar to N in  MONZ     N ACTAR  from   ACTAR upt textil plant AVERB  rail line  and   cut traffic on  airport highway  NONTOPIC ACTAR of embezzl  social secur pa ACTAR s.  ACTAR at sub_heilongjiang  main train station NONTOPIC ADMINN  and   railway ACTAR went to persuad  to leav  and   ACTAR  dispers   N minut   NONTOPIC.  plight of disgruntl ACTAR  laid  from bloat state own firm  like  in sub_heilongjiang   get top bill at  annual N week session of  nation peopl  ACTAR   par ACTAR   meet in beijing due to end on  MONZ  N.  new york base ACTAR  right ACTAR labour watch NONTOPIC labour ACTAR from  factori  written letter to  npc ask for help in solv  ACTAR  problem    receiv  response. last year  N of unemploy ACTAR  took to  street  particular in  nort DIRECTZ  rust belt   unpaid wage  pension  and   alleg graft at flag state own firms. sub_heilongjiang ADMINN ACTAR NONTOPIC  textil factori  near ACTAR uptci  and   ACTAR   forc to scrape by on  minimum social benefit of N yuan   N.N  per  MONZ .  ACTAR labour watch NONTOPIC even  amount  rare paid on time. sub_heilongjiang textil plant ACTAR  post leaflet in  residenti ADMINN  ask ACTAR  to go to  gover ACTAR  build to AVERB on DAYZ    ADMINN gover ACTAR  offici NONTOPIC by telephon from  frigid nort DIRECTZ  ADMINN   gover ACTAR  includ  vice mayor  and    deputi ACTAR boss went to  plant to listen to  complaint   NONTOPIC.  plant  in  process of ACTAR uptcy.bas  ACTAR  ask to speed   ACTAR uptci     get  N  pa ACTAR    ADMINN offici added.   N.N yuan ."
"9",19992054,"shanghai","NA","AVERB  forc evict in ACTAR  growing.resid    kick out of  home  of urban develo ACTAR  held  AVERB in sub_jiangsu  just outsid shanghai    world expo open on DAYZ . video footag obtain by nhk show  N resid AVERB  sub_jiangsu ADMINN hall last  MONZ . protestor demand compens  of  forc evictions.AVERB ACTAR  call in. cordon   ADMINN  and   detain  N ACTAR . ACTAR also NONTOPIC detain peopl    film  AVERB   camera phones.  similar AVERB took place in front of  ADMINN hall on  MONZ  Nst.peopl  angri   major develo ACTAR    underway in sub_jiangsu.new commerci build  and   hous   built.  chines gover ACTAR    tri to calm  situation.  promis legisl   includ  ban on forcibl evict  and   provid compens for lost properti base on  market value.click  to view  video in english in wmv format."
"10",10676798,"guizhou","hubei","N ACTAR   and     N civilian  AVERB   AVERB  gover ACTAR  restrict of  tradit dragon danc in sout DIRECTZ  ACTAR NONTOPIC DAYZ . sub_guizhou ACTAR chief yang pin NONTOPIC  local gover ACTAR   ban  dragon danc in  dow ADMINN ADMINN for safeti concerns.danc   allow to perform in  ADMINN . dozen of dragon dancer  whose rehears  stop DAYZ   went to  ADMINN gover ACTAR  complex  and   AVERB  ACTAR  and   gover ACTAR    tri to perform  danc in AVERB  NONTOPIC ACTAR of  local public secur bureau.  crowd of   N peopl  drawn to  scene. AVERB AVERB violent  ACTAR tri to stop  dance.N ACTAR   and     N civilian  injured.SOURZ  work on get  exact number. N peopl  in  hospit  of DAYZ  morning.  dragon danc   import part of celebr  lantern festiv  fall on DAYZ .enditem"
