,province,sublevel
1,Beijing,Beijing
2,Chongqing,Chongqing
3,Shanghai,Shanghai
4,Tianjin,Tianjin
5,Macau,Macau
6,Anhui,Anqing
7,Anhui,Bengbu
8,Anhui,Bozhou
9,Anhui,Chaohu
10,Anhui,Chizhou
11,Anhui,Chuzhou
12,Anhui,Fuyang
13,Anhui,Hefei
14,Anhui,Huaibei
15,Anhui,Huainan
16,Anhui,Huangshan
17,Anhui,Jieshou
18,Anhui,Lu'an
19,Anhui,Ma'anshan
20,Anhui,Mingguang
21,Anhui,Ningguo
22,Anhui,Suzhou
23,Anhui,Tianchang
24,Anhui,Tongcheng
25,Anhui,Tongling
26,Anhui,Wuhu
27,Anhui,Xuancheng
28,Fujian,Changle
29,Fujian,Fu'an
30,Fujian,Fuding
31,Fujian,Fuqing
32,Fujian,Fuzhou
33,Fujian,Jian'ou
34,Fujian,Jinjiang
35,Fujian,Longhai
36,Fujian,Longyan
37,Fujian,Nan'an
38,Fujian,Nanping
39,Fujian,Ningde
40,Fujian,Putian
41,Fujian,Quanzhou
42,Fujian,Sanming
43,Fujian,Shaowu
44,Fujian,Shishi
45,Fujian,Wuyishan
46,Fujian,Xiamen
47,Fujian,Yong'an
48,Fujian,Zhangping
49,Fujian,Zhangzhou
50,Gansu,Baiyin
51,Gansu,Dingxi
52,Gansu,Dunhuang
53,Gansu,Hezuo
54,Gansu,Jiayuguan
55,Gansu,Jinchang
56,Gansu,Jiuquan
57,Gansu,Lanzhou
58,Gansu,Linxia
59,Gansu,Longnan
60,Gansu,Pingliang
61,Gansu,Qingyang
62,Gansu,Tianshui
63,Gansu,Wuwei
64,Gansu,Yumen
65,Gansu,Zhangye
66,Guangdong,Chaozhou
67,Guangdong,Dongguan
68,Guangdong,Enping
69,Guangdong,Foshan
70,Guangdong,Gaozhou
71,Guangdong,Guangzhou
72,Guangdong,Heshan
73,Guangdong,Heyuan
74,Guangdong,Huazhou
75,Guangdong,Huizhou
76,Guangdong,Jiangmen
77,Guangdong,Jieyang
78,Guangdong,Kaiping
79,Guangdong,Lechang
80,Guangdong,Leizhou
81,Guangdong,Lianjiang
82,Guangdong,Lianzhou
83,Guangdong,Lufeng
84,Guangdong,Luoding
85,Guangdong,Maoming
86,Guangdong,Meizhou
87,Guangdong,Nanxiong
88,Guangdong,Puning
89,Guangdong,Qingyuan
90,Guangdong,Shantou
91,Guangdong,Shanwei
92,Guangdong,Shaoguan
93,Guangdong,Shenzhen
94,Guangdong,Sihui
95,Guangdong,Taishan
96,Guangdong,Wuchuan
97,Guangdong,Xingning
98,Guangdong,Xinyi
99,Guangdong,Yangchun
100,Guangdong,Yangjiang
101,Guangdong,Yingde
102,Guangdong,Yunfu
103,Guangdong,Zhanjiang
104,Guangdong,Zhaoqing
105,Guangdong,Zhongshan
106,Guangdong,Zhuhai
107,Guangxi,Baise
108,Guangxi,Beihai
109,Guangxi,Beiliu
110,Guangxi,Cenxi
111,Guangxi,Chongzuo
112,Guangxi,Dongxing
113,Guangxi,Fangchenggang
114,Guangxi,Guigang
115,Guangxi,Guilin
116,Guangxi,Guiping
117,Guangxi,Hechi
118,Guangxi,Heshan
119,Guangxi,Hezhou
120,Guangxi,Jingxi
121,Guangxi,Laibin
122,Guangxi,Liuzhou
123,Guangxi,Nanning
124,Guangxi,Pingxiang
125,Guangxi,Qinzhou
126,Guangxi,Wuzhou
127,Guangxi,Yizhou
128,Guangxi,Yulin
129,Guizhou,Anshun
130,Guizhou,Bijie
131,Guizhou,Chishui
132,Guizhou,Duyun
133,Guizhou,Fuquan
134,Guizhou,Guiyang
135,Guizhou,Kaili
136,Guizhou,Liupanshui
137,Guizhou,Qingzhen
138,Guizhou,Renhuai
139,Guizhou,Tongren
140,Guizhou,Xingyi
141,Guizhou,Zunyi
142,Hainan,Danzhou
143,Hainan,Dongfang
144,Hainan,Haikou
145,Hainan,Qionghai
146,Hainan,Sansha
147,Hainan,Sanya
148,Hainan,Wanning
149,Hainan,Wenchang
150,Hainan,Wuzhishan
151,Hebei,Anguo
152,Hebei,Baoding
153,Hebei,Bazhou
154,Hebei,Botou
155,Hebei,Cangzhou
156,Hebei,Chengde
157,Hebei,Dingzhou
158,Hebei,Gaobeidian
159,Hebei,Handan
160,Hebei,Hengshui
161,Hebei,Hejian
162,Hebei,Huanghua
163,Hebei,Jinzhou
164,Hebei,Jizhou
165,Hebei,Langfang
166,Hebei,Nangong
167,Hebei,Qian'an
168,Hebei,Qinhuangdao
169,Hebei,Renqiu
170,Hebei,Sanhe
171,Hebei,Shahe
172,Hebei,Shenzhou
173,Hebei,Shijiazhuang
174,Hebei,Tangshan
175,Hebei,Xinji
176,Hebei,Wu'an
177,Hebei,Xingtai
178,Hebei,Xinle
179,Hebei,Zhangjiakou
180,Hebei,Zhuozhou
181,Hebei,Zunhua
182,Heilongjiang,Anda
183,Heilongjiang,Bei'an
184,Heilongjiang,Daqing
185,Heilongjiang,Dongning
186,Heilongjiang,Fujin
187,Heilongjiang,Fuyuan
188,Heilongjiang,Hailin
189,Heilongjiang,Hailun
190,Heilongjiang,Harbin
191,Heilongjiang,Hegang
192,Heilongjiang,Heihe
193,Heilongjiang,Hulin
194,Heilongjiang,Jiamusi
195,Heilongjiang,Jixi
196,Heilongjiang,Mishan
197,Heilongjiang,Mudanjiang
198,Heilongjiang,Muling
199,Heilongjiang,Nehe
200,Heilongjiang,Ning'an
201,Heilongjiang,Qiqihar
202,Heilongjiang,Qitaihe
