"","id","original","machine.predicted.rf","machine.predicted.svm","machine.predicted.nnet","machine.probabilities.rf","machine.probabilities.svm","machine.probabilities.nnet"
"1","22834745guangdong","1","1","1","1","0.869666666666667","0.945548985271421","0.938985641275531"
"2","25501726jiangxi","0","0","0","0","0.203","0.377848654202591","0.131548609687045"
"3","25942100beijing","0","0","1","0","0.413333333333333","0.536942286965641","0.354019417050823"
"4","5953958fujian","1","1","1","1","0.765333333333333","0.877138290496929","0.934658398053107"
"5","10813697beijing","0","0","0","0","0.105666666666667","0.37801141097631","0.132100021177395"
"6","16963447jiangsu","0","0","0","0","0.279","0.431982580440428","0.093625110305359"
"7","1517019beijing","0","0","0","0","0.216666666666667","0.127077837958835","0.0893519404027999"
"8","25501726shanxi","0","0","0","0","0.373","0.499884923962577","0.419489914210441"
"9","25942100liaoning","1","1","1","1","0.882","0.671012995969129","0.938825059473662"
"10","10813697guangdong","1","1","1","1","0.604","0.707922277438107","0.790699354432248"
"11","22285172beijing","1","0","0","0","0.262666666666667","0.186851286153128","0.318171776646605"
"12","16963447liaoning","0","0","0","0","0.301666666666667","0.498335016229395","0.447196077714349"
"13","1517019heilongjiang","1","1","1","1","0.555666666666667","0.658638000111268","0.667052421660406"
"14","25501726sichuan","1","1","1","1","0.706333333333333","0.639000035857197","0.540140463226276"
"15","22285172guangdong","0","0","0","0","0.314","0.424139730229346","0.368081716981194"
"16","16963447sichuan","1","1","1","1","0.682","0.677990376521301","0.548808253282041"
"17","12480863anhui","0","1","1","1","0.555666666666667","0.523735123508898","0.718095327112517"
"18","22285172hunan","1","0","0","0","0.217333333333333","0.194631622974076","0.201559647420909"
"19","16963447zhejiang","0","0","0","0","0.262333333333333","0.47200300627432","0.218433926193212"
"20","12480863beijing","0","0","0","0","0.35","0.428280250273538","0.444210895016523"
"21","22285172shandong","1","1","1","1","0.630666666666667","0.738462254026409","0.899202866291916"
"22","7186361qinghai","1","1","1","1","0.750666666666667","0.758070859513956","0.753670221959782"
"23","12480863hubei","0","0","0","0","0.477666666666667","0.283911907940715","0.194233909614502"
"24","7186361tibet","0","0","0","0","0.079","0.432887932660643","0.029976052933607"
"25","10676798guizhou","1","1","1","1","0.597333333333333","0.676126801778822","0.624785330191309"
"26","12480863shaanxi","0","0","0","0","0.332","0.152006560590702","0.104576296874981"
"27","19992054jiangsu","0","0","1","1","0.494666666666667","0.642912079587184","0.511356608837331"
"28","19463927hebei","0","1","1","0","0.537333333333333","0.608907656519645","0.472215865822202"
"29","12480863shandong","0","0","0","0","0.255666666666667","0.161768735545948","0.112623084650755"
"30","19992054shanghai","1","0","0","0","0.199333333333333","0.350278015550558","0.183751874376218"
"31","22128906beijing","0","0","0","0","0.334","0.467114806317551","0.145534258483952"
"32","17329882anhui","0","0","0","0","0.182","0.130021144940159","0.230904635885793"
"33","19463927henan","1","1","1","1","0.615333333333333","0.613329264610044","0.552207279884653"
"34","1139483anhui","1","1","1","1","0.665","0.647286865636912","0.748932865377475"
"35","12480863tibet","0","0","0","0","0.327","0.466493160170527","0.257248957943615"
"36","22128906tibet","1","0","0","0","0.238666666666667","0.493291821677899","0.239352467331932"
"37","17329882beijing","1","0","0","1","0.286666666666667","0.44477605970539","0.86664997172019"
"38","19463927hubei","0","0","0","0","0.181333333333333","0.346140990441108","0.303471031010842"
"39","1139483beijing","0","0","0","0","0.262666666666667","0.358209460489915","0.295548990751471"
"40","35437033beijing","0","0","0","0","0.081","0.372035428108682","0.140129929015935"
"41","12480863yunnan","1","0","0","0","0.282","0.275085681875646","0.0841354067116575"
"42","17329882chongqing","1","0","0","0","0.0713333333333333","0.0731745764550977","0.127023436577941"
"43","1139483shanghai","0","0","0","0","0.315","0.45690750218152","0.367237526481976"
"44","35437033guangdong","1","0","0","1","0.486","0.489678108904017","0.687502120417207"
"45","22074371beijing","0","0","0","0","0.0646666666666667","0.143346446569211","0.114466104547921"
"46","17329882guangdong","1","1","1","1","0.740333333333333","0.769639657463615","0.512763583470803"
"47","35437033henan","0","0","0","0","0.191","0.27671099545531","0.132364833038016"
"48","22074371guangdong","0","1","1","1","0.64","0.56003785368127","0.966885907232322"
"49","16323860guangdong","1","1","1","1","1","0.75783341675302","0.983976264356836"
"50","17329882henan","1","0","0","0","0.0726666666666667","0.0686862337970144","0.0961284440347168"
"51","35437033zhejiang","0","0","0","0","0.259666666666667","0.314693233133401","0.0786824877172947"
"52","22074371hainan","1","0","0","0","0.389666666666667","0.415004303271028","0.328788129806635"
"53","22166697tibet","1","1","1","1","0.607","0.527970293007978","0.645489825647436"
"54","17329882hunan","1","0","0","0","0.365333333333333","0.340801948644431","0.475942268734303"
"55","23362170shaanxi","1","1","1","1","0.568666666666667","0.812762048016832","0.909726459578626"
"56","3220489guangdong","1","1","1","1","0.626","0.771716636909382","0.520112525469886"
"57","22074371yunnan","1","0","0","0","0.405333333333333","0.476709524137934","0.201517889614166"
"58","17329882jiangsu","1","0","0","0","0.152333333333333","0.133152534519499","0.253118610392415"
"59","19968609guangxi","1","0","0","0","0.443666666666667","0.345755114013674","0.421977856404314"
"60","8080324beijing","0","0","0","0","0.165666666666667","0.158221833745782","0.244692056352776"
"61","17329882shandong","1","0","0","0","0.349","0.24428816866821","0.369845891417124"
"62","19968609jiangxi","0","1","1","1","0.616666666666667","0.799308599021338","0.781461191252541"
"63","8080324guangdong","0","0","0","0","0.202666666666667","0.177982169776523","0.107320566445902"
"64","17329882shanghai","1","0","0","0","0.0696666666666667","0.0728618648187035","0.141668234802013"
"65","20272532guangdong","1","1","1","1","0.761666666666667","0.828725280308873","0.89137419691201"
"66","10401798beijing","0","0","0","0","0.134333333333333","0.0994684088596313","0.10081951477918"
"67","8080324hubei","0","0","0","0","0.264","0.18023651692898","0.15297113703528"
"68","17329882yunnan","1","0","0","0","0.0486666666666667","0.0883048434160691","0.101192905403068"
"69","20272532jiangxi","0","0","0","0","0.166666666666667","0.173159534584884","0.30453934412213"
"70","10401798guangdong","1","1","1","1","0.707333333333333","0.770402199190509","0.767272001581064"
"71","8080324jiangsu","0","0","0","0","0.101666666666667","0.142289115086417","0.047196837488682"
"72","20272532shandong","0","0","0","0","0.263","0.217546063331945","0.241660764802222"
"73","23514197beijing","1","1","1","1","0.700333333333333","0.828947477025254","0.681562461765857"
"74","2491141xinjiang","1","1","1","1","0.575333333333333","0.675283242694135","0.737411138139696"
"75","8080324shanghai","0","0","0","0","0.284666666666667","0.179085756671264","0.211749266219154"
"76","8080324sichuan","0","0","0","0","0.247333333333333","0.116752712049457","0.133634538209752"
"77","18413926guangdong","0","0","0","1","0.422","0.370193891552479","0.63178895406865"
"78","23950540beijing","1","1","1","1","0.779","0.6554066822387","0.82420288206061"
"79","8080324yunnan","1","1","1","0","0.544","0.551143149051148","0.181150150442705"
"80","18413926guangxi","0","1","1","1","0.505666666666667","0.631600523786788","0.796050781363441"
"81","19539442anhui","1","1","1","1","0.596666666666667","0.651560070413535","0.740292212330887"
"82","25191598shanghai","1","1","1","1","0.709666666666667","0.656192949150943","0.921486625864709"
"83","17931146guangdong","1","0","0","0","0.193666666666667","0.182885258489772","0.087540596421765"
"84","18413926henan","0","1","1","1","0.675","0.798979524127446","0.814494914318495"
"85","22787125guangxi","1","1","1","1","0.566","0.632099943423112","0.839028545707831"
"86","22111534guangdong","1","1","1","1","0.612","0.579043897787202","0.779259704420682"
"87","17931146hainan","0","0","0","1","0.33","0.463915080749958","0.698701072739274"
"88","18413926jiangsu","1","1","1","1","0.523","0.672184222485577","0.766843498770988"
"89","24921389beijing","1","0","0","0","0.342","0.32787293809034","0.123295542328658"
"90","22111534shanxi","0","0","0","0","0.408666666666667","0.382492020918034","0.285654332968828"
"91","17931146shandong","1","1","1","1","0.782333333333333","0.879222834795371","0.890325413572392"
"92","18413926shanghai","0","0","0","0","0.186666666666667","0.155837442677303","0.238842347958897"
"93","24921389shanghai","0","0","1","0","0.384666666666667","0.520434849466595","0.357102616748436"
"94","21097146gansu","1","0","0","1","0.453","0.494050611836179","0.725345256957225"
"95","17931146sichuan","1","1","1","1","0.69","0.932357201966786","0.919351420296412"
"96","23719588sichuan","1","0","1","1","0.477","0.504463626729632","0.717694567094322"
"97","21097146tibet","0","0","1","0","0.495","0.597791168920517","0.28416038738201"
"98","19733544beijing","1","1","1","1","0.695666666666667","0.88102337646842","0.936982301306406"
"99","35032773beijing","0","0","0","0","0.110333333333333","0.361681547074573","0.119540780643203"
"100","12385394sichuan","1","1","1","1","0.992666666666667","0.809438203145976","0.980408591568671"
"101","35032773shanghai","0","0","0","0","0.293","0.379239431646849","0.156178144697669"
"102","16893374beijing","0","0","0","0","0.208","0.359512801519716","0.111494597145174"
"103","21407272beijing","0","1","1","0","0.634","0.693447051559304","0.49294541554656"
"104","35032773zhejiang","1","0","1","1","0.449","0.524643016538412","0.591075146592413"
"105","21177753qinghai","0","1","1","1","0.666333333333333","0.87611887257497","0.927832934693967"
"106","16893374qinghai","1","0","0","0","0.293666666666667","0.421605754724602","0.145641888112409"
"107","21407272shanghai","0","0","0","0","0.252","0.340270383930491","0.37594589893249"
"108","24090467shaanxi","0","0","0","0","0.280333333333333","0.19225078649107","0.0872029707471836"
"109","21177753tibet","1","0","0","0","0.0896666666666667","0.388021311542521","0.0264263793981131"
"110","16893374tibet","0","0","0","0","0.186333333333333","0.444286060733594","0.040353645955658"
"111","21407272tianjin","1","0","0","1","0.477333333333333","0.428256115009085","0.587667094837607"
"112","24090467shanxi","0","0","0","0","0.252666666666667","0.359524576591252","0.0855144172970217"
"113","22378525guangdong","1","1","1","1","0.595333333333333","0.608075712340657","0.630231088297582"
"114","13189049liaoning","1","1","1","1","0.691666666666667","0.714708059938654","0.843841468496463"
"115","24090467tianjin","1","1","1","1","0.767","0.828686624219664","0.800001140971721"
"116","22378525guangxi","1","1","1","1","0.667666666666667","0.656358858699335","0.75348750795143"
"117","19973173guangdong","0","1","1","1","0.803","0.91936133248741","0.843307149820725"
"118","25999825beijing","0","0","0","0","0.167","0.387739171603554","0.23430874408447"
"119","11923453guangdong","0","0","0","0","0.269666666666667","0.208022856827844","0.203684629431953"
"120","19973173guizhou","1","1","1","1","0.540333333333333","0.686913863894","0.60636462483126"
"121","25999825guangxi","0","0","0","0","0.168333333333333","0.370375541905262","0.0996265290923912"
"122","4350460sichuan","0","0","0","0","0.402333333333333","0.367370880101181","0.291874069435673"
"123","11923453shanghai","0","0","0","0","0.192333333333333","0.142230453367301","0.0937199933999605"
"124","22398045guangdong","1","1","1","1","0.544333333333333","0.607722754230508","0.707873757021123"
"125","25999825shandong","1","0","0","0","0.492","0.499245334249392","0.204797734993574"
"126","4350460zhejiang","1","0","1","1","0.457666666666667","0.566525251354084","0.549342779555236"
"127","11923453sichuan","1","1","1","1","0.624666666666667","0.808729406462403","0.662311995689261"
"128","5041332gansu","0","0","0","1","0.364","0.397046715808122","0.82010126740196"
"129","7154373anhui","0","0","0","1","0.472333333333333","0.431683620454721","0.59801452021135"
"130","20477799beijing","0","0","0","0","0.186666666666667","0.180806796811939","0.0813965816746468"
"131","5041332guangdong","1","1","1","1","0.612666666666667","0.764100068024445","0.787707469391126"
"132","7154373shanghai","0","0","0","0","0.128","0.166409517668659","0.167760210215619"
"133","12506206beijing","0","0","0","0","0.105666666666667","0.160139726326442","0.135559741615131"
"134","20477799sichuan","1","0","0","0","0.280666666666667","0.113251113355448","0.131934910415241"
"135","7154373sichuan","0","1","1","1","0.585333333333333","0.75480163215252","0.514293238569227"
"136","12506206jiangsu","0","0","0","0","0.128","0.0849717134965877","0.0955725663842741"
"137","20477799tibet","0","0","1","0","0.220666666666667","0.583768241721221","0.0292686943779509"
"138","7154373zhejiang","1","0","0","0","0.340333333333333","0.384386451399346","0.0751891227090295"
"139","12506206zhejiang","1","1","1","1","0.779","0.80728512757211","0.751745482009476"
"140","22609016guangdong","1","1","1","1","0.704333333333333","0.667686041457658","0.911844322824005"
"141","20477799xinjiang","0","0","0","0","0.0406666666666667","0.119378769769868","0.112642029619693"
"142","33709396beijing","0","0","0","1","0.476666666666667","0.492060615495288","0.598907515626576"
"143","7192842beijing","1","1","1","1","0.565333333333333","0.675008337797466","0.71264138493364"
"144","33709396henan","1","0","1","1","0.472","0.61840757671895","0.643061795352326"
"145","7192842guangdong","0","1","0","0","0.513","0.459762362283154","0.421439304390377"
"146","7192842shandong","0","0","0","0","0.472333333333333","0.401175638918733","0.318445604042126"
"147","7852578sichuan","1","1","1","1","0.544666666666667","0.702104491357869","0.704012072551385"
"148","7192842shanghai","1","0","0","0","0.363333333333333","0.381301773924686","0.282727451232548"
"149","7322224beijing","0","0","0","0","0.0643333333333333","0.349107639968651","0.105658301977053"
"150","7852578tibet","0","0","0","1","0.372333333333333","0.474642474510501","0.509449016414562"
"151","21998887guangdong","1","1","1","1","0.564","0.678626428842192","0.853872859813525"
"152","7322224jilin","0","1","1","1","0.652666666666667","0.665836298053715","0.651837307837928"
"153","23122398shandong","1","1","1","1","0.602","0.623547942724469","0.593827993658437"
