"","story_id","rf_2017","svm_2017","nnet_2017"
"1","16963447jiangsu","0","0","0"
"2","16963447liaoning","0","0","1"
"3","16963447sichuan","1","1","1"
"4","16963447zhejiang","0","0","0"
"5","7186361qinghai","1","1","1"
"6","7186361tibet","0","0","0"
"7","19463927hebei","1","1","1"
"8","19463927henan","1","1","1"
"9","19463927hubei","0","0","0"
"10","17329882anhui","0","0","0"
"11","17329882beijing","0","0","1"
"12","17329882chongqing","0","0","0"
"13","17329882guangdong","1","1","1"
"14","17329882henan","0","0","0"
"15","17329882hunan","0","0","1"
"16","17329882jiangsu","0","0","1"
"17","17329882shandong","0","0","1"
"18","17329882shanghai","0","0","0"
"19","17329882yunnan","0","0","0"
"20","16323860guangdong","1","1","1"
"21","19539442anhui","1","1","1"
"22","19968609guangxi","0","0","1"
"23","19968609jiangxi","1","1","1"
"24","17931146guangdong","0","0","0"
"25","17931146hainan","0","1","1"
"26","17931146shandong","1","1","1"
"27","17931146sichuan","1","1","1"
"28","16893374beijing","0","0","0"
"29","16893374qinghai","0","0","0"
"30","16893374tibet","0","0","0"
"31","20272532guangdong","1","1","1"
"32","20272532jiangxi","0","0","0"
"33","20272532shandong","0","0","0"
"34","19733544beijing","1","1","1"
"35","18413926guangdong","0","0","1"
"36","18413926guangxi","1","1","1"
"37","18413926henan","1","1","1"
"38","18413926jiangsu","1","1","1"
"39","18413926shanghai","0","0","0"
"40","21407272beijing","1","1","0"
"41","21407272shanghai","0","0","1"
"42","21407272tianjin","0","0","1"
"43","13189049liaoning","1","1","1"
"44","20477799beijing","0","0","0"
"45","20477799sichuan","0","0","0"
"46","20477799tibet","0","1","0"
"47","20477799xinjiang","0","0","0"
"48","19973173guangdong","1","1","1"
"49","19973173guizhou","0","1","1"
"50","18094057beijing","0","0","0"
"51","18094057guangdong","1","1","1"
"52","18871127guangdong","1","1","1"
"53","18871127hainan","0","0","0"
"54","18871127jiangxi","1","1","1"
"55","7322224beijing","0","0","0"
"56","7322224jilin","1","1","1"
"57","7322224qinghai","0","0","0"
"58","7322224sichuan","0","0","0"
"59","7322224tibet","0","0","0"
"60","18468651guangdong","0","0","0"
"61","18468651guizhou","0","0","0"
"62","18468651sichuan","1","1","1"
"63","18468651zhejiang","1","1","1"
"64","7852578sichuan","1","1","1"
"65","7852578tibet","1","1","1"
"66","17295543guangdong","1","1","1"
"67","18824124hainan","1","1","1"
"68","17619005hainan","1","1","1"
"69","17619005sichuan","0","0","1"
"70","20819926beijing","1","1","1"
"71","20819926fujian","1","1","1"
"72","20819926guangdong","0","0","0"
"73","20819926hebei","0","0","0"
"74","20819926henan","0","0","0"
"75","20819926hubei","1","1","0"
"76","20819926hunan","1","1","0"
"77","20819926innermongolia","0","0","0"
"78","20819926jiangsu","1","1","1"
"79","20819926liaoning","0","0","0"
"80","20819926ningxia","0","0","0"
"81","20819926shaanxi","0","0","1"
"82","20819926shandong","0","0","0"
"83","20819926shanghai","1","1","0"
"84","20819926shanxi","0","0","0"
"85","20819926tianjin","0","0","0"
"86","20819926tibet","0","0","0"
"87","20819926xinjiang","0","0","0"
"88","20819926yunnan","1","1","1"
"89","20819926zhejiang","0","0","0"
"90","17030735beijing","0","0","1"
"91","17030735guangdong","0","0","1"
"92","17030735jiangsu","1","1","1"
"93","17030735liaoning","0","0","1"
"94","17030735shanghai","0","0","0"
"95","17030735sichuan","0","0","1"
"96","19069355xinjiang","1","1","1"
"97","16269055beijing","0","0","0"
"98","16269055guangdong","0","1","1"
"99","16269055henan","1","1","1"
"100","16269055jiangsu","0","0","0"
"101","20670355beijing","0","0","0"
"102","20670355guizhou","0","0","0"
"103","20670355hainan","0","0","0"
"104","20670355qinghai","1","1","1"
"105","20670355tibet","0","0","0"
"106","21560122beijing","0","1","1"
"107","21560122shanghai","1","1","1"
"108","15895565guangdong","0","0","0"
"109","15895565jiangxi","0","0","0"
"110","15895565liaoning","0","0","1"
"111","15895565zhejiang","1","1","1"
"112","28057239zhejiang","1","1","1"
"113","13090525yunnan","1","1","1"
"114","18199505guangxi","1","1","1"
"115","13336075guangdong","1","1","1"
"116","21125692guangdong","1","1","1"
"117","20936839guangdong","1","1","1"
"118","19264806beijing","1","1","1"
"119","19264806guangdong","0","1","1"
"120","19264806shanghai","1","1","0"
"121","7492095anhui","0","1","0"
"122","7492095jiangsu","1","1","1"
"123","21597982beijing","0","0","0"
"124","21597982jilin","1","1","1"
"125","20665331beijing","0","0","0"
"126","20665331chongqing","0","0","0"
"127","20665331fujian","0","0","0"
"128","20665331gansu","0","0","0"
"129","20665331guangdong","0","0","0"
"130","20665331guangxi","0","0","0"
"131","20665331guizhou","0","0","0"
"132","20665331hainan","0","0","0"
"133","20665331henan","0","0","0"
"134","20665331hubei","0","0","0"
"135","20665331hunan","0","0","0"
"136","20665331jiangsu","0","0","0"
"137","20665331qinghai","1","1","1"
"138","20665331shaanxi","1","1","0"
"139","20665331shanghai","0","0","0"
"140","20665331sichuan","1","1","0"
"141","20665331tibet","0","0","0"
"142","20665331xinjiang","0","0","0"
"143","20665331zhejiang","0","0","0"
"144","8330608sichuan","1","1","1"
"145","8330608tibet","1","1","0"
"146","21194677guangdong","1","1","1"
"147","19371391anhui","0","1","0"
"148","19371391guangdong","1","1","1"
"149","19371391hebei","1","1","1"
"150","19371391henan","0","0","0"
"151","19371391innermongolia","0","0","0"
"152","19371391shandong","1","1","0"
"153","19371391tianjin","0","0","0"
"154","19371391xinjiang","0","0","0"
"155","19770720guangdong","1","1","1"
"156","21294522tianjin","1","1","1"
"157","21294522xinjiang","0","0","1"
"158","21115309beijing","1","1","1"
"159","21115309hubei","1","1","1"
"160","16235224beijing","0","0","0"
"161","16235224gansu","0","0","0"
"162","16235224hebei","1","1","1"
"163","16235224ningxia","1","1","1"
"164","16235224xinjiang","0","0","1"
"165","34768786guangdong","1","1","1"
"166","21081776qinghai","1","1","1"
"167","11966901shanghai","1","1","1"
"168","22326698chongqing","0","0","0"
"169","22326698guangdong","1","1","1"
"170","22326698hainan","0","0","0"
"171","18933525jilin","1","1","1"
"172","18933525yunnan","0","1","0"
"173","11617369beijing","0","0","0"
"174","11617369guangdong","1","1","1"
"175","11617369tibet","1","1","1"
"176","20876431fujian","1","1","1"
"177","20876431yunnan","1","1","1"
"178","21457273guangdong","1","1","1"
"179","34268065guangdong","1","1","1"
"180","34268065jiangxi","1","1","1"
"181","9386754beijing","0","0","0"
"182","9386754jiangxi","1","1","1"
"183","12421509guangdong","1","1","1"
"184","21498378guangdong","1","1","1"
"185","21602158liaoning","1","1","1"
"186","17963836guangxi","0","1","1"
"187","17963836hunan","0","0","0"
