"","story_id","province_human","province_ICEWS","cleantext"
"1",6615047,"kinshasa","Kinshasa City","AVERB broke out DAYZ at sub_kinshasa in  ACTAR  AVERB  ACTAR  and   support of jean pierr bemba  file legal challeng lose countri presidenti election.gt ayv nb db"
"2",7477600,NA,"Kinshasa City","outspoken evangel pastor fernando kuthino arrest DAYZ  violent AVERB  support  and   secur AVERB in  ACTAR  right worker  and   wit NONTOPIC.wit NONTOPIC secur AVERB AVERB kuthino church AVERB tearga  and   AVERB member of flock  AVERB oper AVERB pastor  return to  ACTAR earlier  MONZ  N year in exile. local human right ACTAR  voic of voiceless NONTOPIC ACTAR of make  valuabl good  and   import sum of money. ACTAR demand immedi releas of pastor  and   other detain . reason for arrest  immedi clear.kuthino gave speech to N support earlier DAYZ   N public address sinc return to countri in  criticis prepar for  ACTAR N multi ACTAR elect in N year on MONZ N. call for  ACTAR to hold talk  opposit  boycot poll to ensur nation unity.sb smc rl"
"3",7196840,"northkivu, katanga","Province du Nord-Kivu","N of congoles civilian AVERB from home by recent AVERB in east now flee to escap rape AVERB  and   tortur by maraud gunmen aid worker NONTOPIC on DAYZ .just MONZ ahead of schedul elect in  ACTAR  AVERB  ACTAR AVERB  and   rebel  and   militia in  DIRECTZ  ADMINN of northkivu  and   katanga ADMINN  AVERB ten of N  and   curb aid work relief organis NONTOPIC.franc medecin san frontier msf NONTOPIC in statement civilian  rape tortur  and   beaten .msf doctor provid medic care for N rape victim  last N day alon in northkivu. ACTAR fled  bush  fighting.  now to flee  of abus by arm ACTAR  and   poor condit jean guy vataux head of msf franc in ACTAR  NONTOPIC SOURZ by phone from  DIRECTZ  ADMINN of kayna. ACTAR AVERB offici end almost N year ago.near N ACTAR peacekeep deploy across vast DIRECTZ african countri  and   elect due to held by mid MONZ . violenc continu across much of east. week hide in bush  N civilian sought shelter in N  ADMINN in northkivu  former rwandan back rebel reject integr  nation armi  and   confront ACTAR soldier msf NONTOPIC. N  AVERB peopl remain in bush howev subject to violenc  and   AVERB unabl to move on   weak   danger  added. ACTAR AVERB AVERB N peopl sinc began in N.expert NONTOPIC N peopl continu to AVERB everi day most from AVERB relat hunger  and   disease.uk base amnesti intern NONTOPIC on DAYZ  ACTAR AVERB well rebel carri out abus civilian in northkivu  and   katanga.in  ADMINN  ACTAR action prevent aid effort of humanitarian agenc leav N of peopl AVERB from direct violenc from prevent diseas  and   starvat  organis NONTOPIC. ACTAR  unavail for comment. ACTAR peacekeep tri to keep lid on ethnic violenc in northkivu  thin on ground in copper rich katanga  former ACTAR back militia AVERB ACTAR AVERB  and    N civilian fled homes."
"4",18938869,"northkivu","Province du Nord-Kivu","woman  and   young girl AVERB in AVERB soldier  and   armi desert suspect of tie to local ACTAR in DIRECTZ  ACTAR   ACTAR NONTOPIC DAYZ . regiment AVERB overnight DAYZ to DAYZ in kirumba in restiv northkivu ADMINN  by suspect mai mai militiamen  and   soldier desert armi in earli MONZ  command NONTOPIC SOURZ . AVERB left N civilian dead  woman  and   young daughter  AVERB  home destroy by AVERB NONTOPIC command request anonym ad  N congoles soldier wounded.in past MONZ   dozen senior offic former member of  ACTAR  ACTAR  ACTAR led by indict AVERB ACTAR  left rank along  N  ACTAR in nord  and   southkivu ADMINN . ACTAR troop  pursu ex ACTAR fighter  and   violent AVERB erupt  oppos side sinc DAYZ . armi statement on DAYZ NONTOPIC N desert AVERB  and   N soldier wounded. latest AVERB AVERB place for  N time in  ADMINN of sub_northkivu  desert ex rebel soldier suspect of becom alli of mai mai ACTAR   NONTOPIC of mass rape in N. ACTAR  integr  nation armi in N follow peac deal  leader jean ACTAR  nicknam AVERB  indict by intern ACTAR court in N.  ACTAR of N  ACTAR loyalist defect earlier  MONZ  cite unpaid salari  and   inhuman live condit among complaints. descript of SOURZ  pari SOURZ  world servic in english  world SOURZ servic of independ french SOURZ agenc SOURZ"
"5",6521068,"northkivu","Kinshasa City","thirti N local fighter  and   N regular soldier AVERB  ACTAR  and   ACTAR AVERB freed elect ACTAR  held to ransom in  ACTAR  ACTAR   SOURZ NONTOPIC DAYZ . oper on DAYZ  and   DAYZ in DIRECTZ  ACTAR liber N offic of  ACTAR ACTAR AVERB by local tradit warrior known mai mai oper independ arm gunmen in lawless ADMINN . shootout AVERB place at virundo  N kilometr N mile north of sub_northkivu in  ADMINN of northkivu. ACTAR spokesman NONTOPIC AVERB end in safe releas of member of  elector commiss  and   destruct of N major mai mai camps. elect team in charg of organis poll schedul for next year in  ACTAR  kidnap on MONZ N  and   ransom demand made  spokesman NONTOPIC. nation uniti ACTAR AVERB ADMINN in  ACTAR in N follow civil AVERB  disarm of mai mai estim by  ACTAR AVERB monuc to number N  and   N in kivu ADMINN  seen  DIRECTZ to peac in vast AVERB torn DIRECTZ african republic. nebul yet pivot collect of tribal militia  and   local defenc AVERB  mai mai AVERB on side of  N back to back rebellion swept  ACTAR for N years.sb da gd"
"6",32279431,"northkivu",NA,"ACTAR NONTOPIC of mass rape  and   AVERB in DIRECTZ  ACTAR  readi to lay  weapon  head of  ACTAR mission NONTOPIC DAYZ  urg armi to restor order in vicinity. self defenc ACTAR led by general sheka ntabo ntaberi  and   known sheka mai mai  activ in  ADMINN at least N year AVERB rival AVERB for AVERB of gold mines.thirti N hour ago   ADMINN of pinga liber from sheka mai mai  and   of sheka .now vital to restor author of state soon possibl martin kobler NONTOPIC SOURZ in brief NONTOPIC.at end of MONZ   ACTAR mission to countri monusco NONTOPIC at least N civilian includ N ACTAR  age  N  MONZ  and   N year  AVERB extrem violenc by sheka mai mai in ADMINN in sub_northkivu ADMINN  northkivu. ACTAR  also NONTOPIC of AVERB part in rape of almost N peopl in MONZ  and   MONZ N in sub_northkivu ADMINN  adjoin sub_northkivu. arrest warrant for leader  issu by state prosecutor  and   monusco denounc serious right violat  constitut crime intern law notabl crime humanity.kobl made mention of surrend by sheka  and    NONTOPIC  N  ACTAR member turn in  on DAYZ monusco NONTOPIC N fighter from AVERB surrend  MONZ N  and   N.accord to kobler sheka mai mai AVERB prepar to go to ACTAR lodg alreadi hold N of former fighter  turn in sinc surrend on MONZ N of rebel of movement of MONZ N mN   N MONZ uprising. ACTAR special envoy to  DIRECTZ african great lake ADMINN  mari robinson warn DAYZ  develop in  ACTAR depend on disarm arm movements.to enabl develop  arm group must come out of bush robinson NONTOPIC in  DIRECTZ  ADMINN of sub_northkivu. ACTAR AVERB of mN  major boost to congoles armi  receiv help  campaign from special ACTAR intervent brigad oper  unpreced mandat to AVERB  and   neutralis arm movement  rife in east. N dozen arm movement  communiti base militia armi defector  and   rebel AVERB  nativ to dr ACTAR  and   from neighbour ACTAR  and   ACTAR   high activ in east  and   often involv in AVERB to AVERB rich miner resources.str hab nb jom rmb"
"7",11251110,"orientale","Province du Kasai-Oriental","AVERB congoles rebel  and   ACTAR AVERB AVERB N of peopl in sub_orientale ADMINN  in DIRECTZ  ACTAR  ACTAR .accord to businessmen from rusizi ADMINN  secur situat worri to N businessmen  and   hinder trade  N peopl along borders. SOURZ ad violenc in  ADMINN began on DAYZ  MONZ N  new year ceasefir militia reluct to join countri ongo demobil process  and   armi unit post in  ADMINN .near N AVERB peopl gather in school  and   church near edg of sub_orientale  far from monuc nepales conting NONTOPIC N businessman identifi ndikumana. wasn t heavi AVERB  AVERB  dozen militiamen  exchang AVERB sporad unit of  ACTAR arm AVERB NONTOPIC SOURZ peacekeep mission monuc  ACTAR spokesman lt col didier rancher. ADMINN  remot  and   difficult to reach except by helicopt accord to monuc. AVERB  affect  ADMINN in  ADMINN  broke out despit talk  armi  ACTAR   and   repres of ACTAR commanders."
"8",1004427,"northkivu, orientale","Province du Nord-Kivu","fresh AVERB broken out in DIRECTZ  ACTAR  main ACTAR  and   militia alli to  ACTAR  day  SOURZ AVERB deploy north rebel ACTAR NONTOPIC on DAYZ . AVERB  start weekend near  ADMINN of sub_northkivu in northkivu ADMINN  come  french led AVERB get readi to move in N km N mile to north to end week of AVERB in sub_orientale  left N dead. SOURZ also come  rwandan back ACTAR sub_northkivu prepar to return to capit to resum talk on transit ACTAR meant to give  ACTAR  new start near N year of AVERB. violenc start weekend  and   resum earli DAYZ morn rebel spokesman lola kisanga NONTOPIC SOURZ from base in sub_northkivu in east of country.kisanga NONTOPIC presid jo MONZ h kabila troop  and   alli militia involved. NONTOPIC N ACTAR soldier  AVERB by ACTAR sub_northkivu forces. breakaway ACTAR ml ACTAR  now alli to  ACTAR  NONTOPIC  AVERB near sub_northkivu by rebel  and   AVERB N  ACTAR sub_northkivu fighters. ACTAR NONTOPIC  soldier in  ADMINN .AVERB sinc N in africa N biggest countri left estim N dead most hunger  and   disease. side agre to work within coalit ACTAR to organis elect in N years. colonel ronni bradford chief of staff for  ACTAR mission in ACTAR  NONTOPIC ACTAR troop  and   rebel fighter  NONTOPIC around sub_northkivu. meant to keep well clear. presenc of AVERB constitut breach of ceasefir although  difficult to NONTOPIC whether  involv in violenc bradford NONTOPIC SOURZ .bloodsh in sub_orientale prompt  ACTAR secur council to agre to send multin AVERB  tougher mandat  for  ACTAR troop in ACTAR . ACTAR sub_northkivu  and   ACTAR NONTOPIC  of back tribal militia in sub_orientale  N faction NONTOPIC N civilian AVERB at weekend. new NONTOPIC of AVERB to south like to sour mood at DAYZ resumpt of talk  to share out post in army. row delay set of transit ACTAR . ACTAR sub_northkivu ACTAR NONTOPIC  reduc demand for key ACTAR command  and   run out of patienc  prepar to head to kinshasa for talks. absolut last time.  agre  go to exercis legitim right to chase out enemi far possibl kisanga NONTOPIC SOURZ ."
"9",34065480,"southkivu","South Kivu Province","short  outbreak of oper kimia ii in southkivu  secretari general of  SOURZ  and   coordin of emerg relief john holm  ask congoles ACTAR  to ensur protect of civilians.sinc new york  warn  N of N of peopl in southkivu incur risk of new AVERB  and   abus of new conflicts.in  SOURZ releas  senior offici of  SOURZ  state  peopl  alreadi repeat victim of violenc in  ADMINN  font of new face of terror  and   insecurity.mr.holm stress in event of intensif of AVERB  ACTAR AVERB  and   arm group in come week  arm group in southkivu must  main prioriti protect of civilian  and   mean of subsistence. must also ensur  and   facilit uncondit access of humanitarian to affect populations.sinc begin of year  estim approxim N peopl  AVERB in southkivu flee  ACTAR AVERB  communiti  and   move to protect famili  threat of violence. tension in  ADMINN  increas in prospect of new schedul oper by congoles armi  ACTAR  ACTAR .case NONTOPIC in  ADMINN  base  ACTAR  AVERB  and   threat  civilian increas dramat in recent weeks.in communiti of kachiri  and   rumondo   dozen of ADMINN  AVERB  and   N of home burned.on axi kigulube.sub_bandundu in east of  ADMINN of sub_southkivu group of ACTAR use violenc  and   intimid in order to AVERB  ACTAR to provid  food.without access to field  and   victim of theft of crop  ACTAR risk to suffer sever food crisi particular on axi sub_southkivu.hombo in  ADMINN of sub_southkivu.alarm  number of case of rape  on increas in recent week in  ADMINN  AVERB well of  ACTAR  of congoles armi  ACTAR  ACTAR . ACTAR  and   girl at merci of group known for systemat use. sub_southkivu  N case of rape  and   N incid of extort by ACTAR soldier  NONTOPIC  period of  N days.around hombo in  ADMINN of sub_southkivu  ACTAR troop drove popul of N small ADMINN in order to AVERB homes. NONTOPIC  condemn horrend AVERB civilian in strongest terms. perpetr of violat of intern humanitarian law will to answer for crimes."
"10",22470197,"northkivu",NA,"text of SOURZ by drcongo ACTAR sponsor SOURZ websit on N MONZ  place name in DIRECTZ drcongo radiookapi.et NONTOPIC violent AVERB began morn at sub_northkivu  and   sub_northkivu  N local in sub_northkivu ADMINN  northkivu ADMINN .sub_northkivu situat near ngunga at N km west of sub_northkivu  and   sub_northkivu situat at N km west of sub_northkivu ADMINN . pareco mayi mayi movement  congoles resist patriot spokesman NONTOPIC  posit in sub_northkivu  and   sub_northkivu AVERB simultan at around N local time  morn by troop loyal to  ACTAR  ACTAR gen ACTAR ACTAR .  worth note  ACTAR  and   pareco  N rival arm group oper in sub_northkivu .on part pareco NONTOPIC  ACTAR led ACTAR movement of tri at cost to AVERB  ADMINN  AVERB. claim counter by  ACTAR  NONTOPIC  resist pareco led AVERB morn at sub_katanga.accord to  ACTAR element  purpos of mayi mayi led tribal warrior AVERB to AVERB good from people.in chapter on violenc  NONTOPIC AVERB AVERB place morn  ACTAR  ACTAR   and   rud ralli for uniti movement  and   ACTAR dissid at kiseguru. ADMINN  locat at N km DIRECTZ of sub_northkivu in sub_northkivu ADMINN .accord to promin peopl in sub_northkivu  AVERB prompt by AVERB by  ACTAR faction of  ACTAR . ACTAR rebel believ to total AVERB buganza ADMINN  situat at N km from sub_northkivu on ishasha road.for time  ACTAR  drcongo arm AVERB  ACTAR  yet made statement on sudden upsurg of conflict in  ADMINN . descript of SOURZ  internet drcongo ACTAR sponsor SOURZ in french"
