city,province,source,note,province_levels,
bandundu,bandundu,variations-geonames,,bandundu,need to have whitespace in the front and end
ndunda,bandundu,ICEWS,,sub_bandundu,
kikwit,bandundu,ICEWS,,sub_bandundu,
potopoto,bandundu,ICEWS,,sub_bandundu,
kabaka,bandundu,ICEWS,,sub_bandundu,
sebele,bandundu,ICEWS,,sub_bandundu,
galangi,bandundu,ICEWS,,sub_bandundu,
pana,bandundu,ICEWS,,sub_bandundu,
ville de bandundu,bandundu,variations-icews,,sub_bandundu,
kenge,bandundu,Wiki,,sub_bandundu,
inongo,bandundu,Wiki,,sub_bandundu,
kwango,bandundu,Wiki_new,,sub_bandundu,
kwilu,bandundu,Wiki_new,,sub_bandundu,
mai-ndombe,bandundu,Wiki_new,,sub_bandundu,
maindombe,bandundu,geonames,,sub_bandundu,
bulungu,bandundu,geonames_city,,sub_bandundu,
bascongo,bascongo,variations-geonames,,bascongo,
du bas-congo,bascongo,variations-sophie,,bascongo,
bas-congo,bascongo,variations-sophie,,bascongo,
zone de luozi,bascongo,ICEWS,,sub_bascongo,
zone de seke-banza,bascongo,ICEWS,,sub_bascongo,
kisantu,bascongo,ICEWS,,sub_bascongo,
congo river,bascongo,ICEWS,,sub_bascongo,
masangi,bascongo,ICEWS,,sub_bascongo,
kimbumba,bascongo,ICEWS,,sub_bascongo,
bemba,bascongo,ICEWS,delete,sub_bascongo,president name
mazamaza,bascongo,ICEWS,,sub_bascongo,
matadi,bascongo,Wiki,,sub_bascongo,
kongo central,bascongo,variations-wiki,,sub_bascongo,
kongocentral,bascongo,variations-geonames,,sub_bascongo,
equateur,equateur,variations-geonames,,equateur,
de l' equateur,equateur,variations-sophie,,equateur,
mbandaka,equateur,ICEWS,,sub_equateur,
gbadolite,equateur,ICEWS,,sub_equateur,
basa,equateur,ICEWS,,sub_equateur,
takaya,equateur,ICEWS,,sub_equateur,
sapa,equateur,ICEWS,,sub_equateur,
dondo,equateur,ICEWS,,sub_equateur,
saha,equateur,ICEWS,,sub_equateur,
zone de bumba,equateur,ICEWS,,sub_equateur,
bado,equateur,ICEWS,,sub_equateur,
zone de gemena,equateur,ICEWS,,sub_equateur,
lisala,equateur,Wiki,,sub_equateur,
gemena,equateur,Wiki,,sub_equateur,
mbandaka,equateur,Wiki,,sub_equateur,
boende,equateur,Wiki,,sub_equateur,
nord-ubangi,equateur,Wiki_new,,sub_equateur,
mongala,equateur,Wiki_new,,sub_equateur,
sud-ubangi,equateur,Wiki_new,,sub_equateur,
tshuapa,equateur,Wiki_new,,sub_equateur,
nordubangi,equateur,geonames,,sub_equateur,
sudubangi,equateur,geonames,,sub_equateur,
kasaoccidental,kasaioccidental,variations-geonames,,kasaioccidental,
kasaioccidental,kasaioccidental,variations-geonames,,kasaioccidental,
du kasai-occidental,kasaioccidental,variations-sophie,,kasaioccidental,
kasai-occidental,kasaioccidental,variations-sophie,,kasaioccidental,
mutshima,kasaioccidental,ICEWS,,sub_kasaioccidental,
nkuna,kasaioccidental,ICEWS,,sub_kasaioccidental,
ville de kananga,kasaioccidental,ICEWS,,sub_kasaioccidental,
zomba,kasaioccidental,ICEWS,,sub_kasaioccidental,
tshibashi,kasaioccidental,ICEWS,,sub_kasaioccidental,
mukala,kasaioccidental,ICEWS,,sub_kasaioccidental,
mende,kasaioccidental,ICEWS,,sub_kasaioccidental,
kakoba,kasaioccidental,ICEWS,,sub_kasaioccidental,
bango,kasaioccidental,ICEWS,,sub_kasaioccidental,
kabombo,kasaioccidental,ICEWS,,sub_kasaioccidental,
luebo,kasaioccidental,Wiki,,sub_kasaioccidental,
kananga,kasaioccidental,Wiki,,sub_kasaioccidental,
kasai-central,kasaioccidental,Wiki_new,,sub_kasaioccidental,
kasaicentral,kasaioccidental,geonames,,sub_kasaioccidental,
kasa central,kasaioccidental,geonames,,sub_kasaioccidental,
kasai central,kasaioccidental,geonames,,sub_kasaioccidental,
kasaioriental,kasaioriental,ICEWS,,kasaioriental,
kasaoriental,kasaioriental,variations-geonames,,kasaioriental,
kasai-oriental,kasaioriental,variations-wiki,,kasaioriental,
kasa oriental,kasaioriental,variations-geonames,,kasaioriental,
kasai oriental,kasaioriental,variations-geonames,,kasaioriental,
kasaioriental,kasaioriental,variations-geonames,,kasaioriental,
du kasai-oriental,kasaioriental,variations-geonames,,kasaioriental,
welo,kasaioriental,ICEWS,,sub_kasaioriental,
zone de mbuji-mayi,kasaioriental,ICEWS,,sub_kasaioriental,
seke,kasaioriental,ICEWS,,sub_kasaioriental,
mbuji-mayi,kasaioriental,ICEWS,,sub_kasaioriental,
dongo,kasaioriental,ICEWS,,sub_kasaioriental,
kabinda,kasaioriental,Wiki,,sub_kasaioriental,
lusambo,kasaioriental,Wiki,,sub_kasaioriental,
lomami,kasaioriental,Wiki_new,,sub_kasaioriental,
sankuru,kasaioriental,Wiki_new,,sub_kasaioriental,
katanga,katanga,variations-geonames,,katanga,
haut-katanga,katanga,Wiki_new,,katanga,
hautkatanga,katanga,geonames,,katanga,
hautlomami,katanga,geonames,,katanga,
kabamba,katanga,ICEWS,,sub_katanga,
ville de lubumbashi,katanga,ICEWS,,sub_katanga,
zone de moba,katanga,ICEWS,,sub_katanga,
ngungu,katanga,ICEWS,,sub_katanga,
zone de kabalo,katanga,ICEWS,,sub_katanga,
zone de mitwaba,katanga,ICEWS,,sub_katanga,
likasi city,katanga,ICEWS,,sub_katanga,
zola,katanga,ICEWS,,sub_katanga,
muteba,katanga,ICEWS,,sub_katanga,
zone de kalemie,katanga,ICEWS,,sub_katanga,
zone de pweto,katanga,ICEWS,,sub_katanga,
zone de kamina,katanga,ICEWS,,sub_katanga,
zone de kipushi,katanga,ICEWS,,sub_katanga,
kasumbalesa,katanga,ICEWS,,sub_katanga,
kasao,katanga,ICEWS,,sub_katanga,
zone de kolwezi,katanga,ICEWS,,sub_katanga,
dijila,katanga,ICEWS,,sub_katanga,
mukila,katanga,ICEWS,,sub_katanga,
kalemie,katanga,Wiki,,sub_katanga,
kamina,katanga,Wiki,,sub_katanga,
kolwezi,katanga,Wiki,,sub_katanga,
lubumbashi,katanga,Wiki,,sub_katanga,
tanganyika,katanga,Wiki_new,delete,sub_katanga,
haut-lomami,katanga,Wiki_new,,sub_katanga,
lualaba,katanga,Wiki_new,,sub_katanga,
pweto,katanga,sophie,,sub_katanga,
kinshasa,kinshasa,ICEWS,,kinshasa,
kinshasa city,kinshasa,variations-sophie,,kinshasa,
kalamu,kinshasa,ICEWS,,sub_kinshasa,
ngaliema,kinshasa,ICEWS,delete,sub_kinshasa,
limete,kinshasa,ICEWS,,sub_kinshasa,
Gombe,kinshasa,howard,,sub_kinshasa,
Supreme Court,kinshasa,sophie,,sub_kinshasa,
maniema,maniema,geonames,,maniema,
du maniema,maniema,comp,,maniema,
zone de kindu,maniema,ICEWS,,sub_maniema,
lokori,maniema,ICEWS,,sub_maniema,
bina,maniema,ICEWS,,sub_maniema,
doruma,maniema,ICEWS,,sub_maniema,
omari,maniema,ICEWS,,sub_maniema,
utanga,maniema,ICEWS,,sub_maniema,
zone de punia,maniema,ICEWS,,sub_maniema,
kamango,maniema,ICEWS,,sub_maniema,
kiango,maniema,ICEWS,,sub_maniema,
bakungu,maniema,ICEWS,,sub_maniema,
kindu,maniema,Wiki,,sub_maniema,
northkivu,northkivu,ICEWS,,northkivu,
northern kivu,northkivu,variations-howard,,northkivu,
north kivu,northkivu,variations-wiki,,northkivu,
nordkivu,northkivu,variations-geonames,,northkivu,
du nord-kivu,northkivu,variations-sophie,,northkivu,
province du nord-kivu,northkivu,variations-howard,,northkivu,
nord-kivu,northkivu,variations-geonames,,northkivu,
nord kivu,northkivu,variations-sophie,,northkivu,
kaseke,northkivu,locality-northkivu_howard,,sub_northkivu,
kisonga,northkivu,locality-northkivu_howard,,sub_northkivu,
goma,northkivu,ICEWS,,sub_northkivu,
walikale,northkivu,ICEWS,,sub_northkivu,
butembo,northkivu,ICEWS,,sub_northkivu,
masisi,northkivu,ICEWS,,sub_northkivu,
kanyobagonga,northkivu,ICEWS,,sub_northkivu,
rutshuru,northkivu,ICEWS,,sub_northkivu,
beni,northkivu,ICEWS,,sub_northkivu,
bunangana,northkivu,ICEWS,,sub_northkivu,
karuba,northkivu,ICEWS,,sub_northkivu,
eringite,northkivu,ICEWS,,sub_northkivu,
oicha,northkivu,ICEWS,,sub_northkivu,
rumangabo,northkivu,ICEWS,,sub_northkivu,
mweso,northkivu,ICEWS,,sub_northkivu,
kibati,northkivu,ICEWS,,sub_northkivu,
ndeko,northkivu,ICEWS,,sub_northkivu,
rwindi,northkivu,ICEWS,,sub_northkivu,
jomba,northkivu,ICEWS,,sub_northkivu,
lubero,northkivu,ICEWS,,sub_northkivu,
vitshumbi,northkivu,ICEWS,,sub_northkivu,
kitshanga,northkivu,ICEWS,,sub_northkivu,
nyabiondo,northkivu,ICEWS,,sub_northkivu,
kibua,northkivu,ICEWS,,sub_northkivu,
kasindi,northkivu,ICEWS,,sub_northkivu,
binza,northkivu,ICEWS,delete,sub_northkivu,
kimoka,northkivu,ICEWS,,sub_northkivu,
kikingi,northkivu,ICEWS,,sub_northkivu,
loba,northkivu,ICEWS,,sub_northkivu,
kibumba,northkivu,ICEWS,corrected_from_southkivu,sub_northkivu,
walikale,northkivu,geonames_city,,sub_northkivu,
rutshuru,northkivu,geonames_city,,sub_northkivu,
masisi,northkivu,geonames_city,,sub_northkivu,
Mabenga,northkivu,howard,,sub_northkivu,
Buramba,northkivu,howard,,sub_northkivu,
Kanyabayonga,northkivu,howard,,sub_northkivu,
Nyakakoma,northkivu,howard,,sub_northkivu,
Nyamilima,northkivu,howard,,sub_northkivu,
Virunga National Park,northkivu,howard,delete,sub_northkivu,
Sake,northkivu,howard,,sub_northkivu,
Mugunga camp,northkivu,howard,,sub_northkivu,
musake,northkivu,sophie,,sub_northkivu,
bunagana,northkivu,sophie,,sub_northkivu,
orientale,orientale,geonames,,orientale,
orientale,orientale,ICEWS,,orientale,
nioka,orientale,ICEWS,,sub_orientale,
fataki,orientale,ICEWS-modified-sophie,,sub_orientale,
bunia,orientale,ICEWS,,sub_orientale,
virunga national park,orientale,ICEWS,,sub_orientale,
kisangani,orientale,ICEWS,,sub_orientale,
isiro,orientale,ICEWS,,sub_orientale,
lambi,orientale,ICEWS,,sub_orientale,
kasenye,orientale,ICEWS,,sub_orientale,
ngote,orientale,ICEWS,,sub_orientale,
baluka,orientale,ICEWS,,sub_orientale,
moro,orientale,ICEWS,,sub_orientale,
zone de mahagi,orientale,ICEWS,,sub_orientale,
geti,orientale,ICEWS,delete,sub_orientale,
zone de djugu,orientale,ICEWS,,sub_orientale,
zongo,orientale,ICEWS,,sub_orientale,
kongo,orientale,ICEWS,,sub_orientale,
zone de bafwasende,orientale,ICEWS,,sub_orientale,
zone d'irumu,orientale,ICEWS,,sub_orientale,
matani,orientale,ICEWS,,sub_orientale,
garamba,orientale,ICEWS,,sub_orientale,
zone de faradje,orientale,ICEWS,,sub_orientale,
gurba,orientale,ICEWS,,sub_orientale,
tadu,orientale,ICEWS,,sub_orientale,
zone de dungu,orientale,ICEWS,,sub_orientale,
aba,orientale,ICEWS,,sub_orientale,
nzara,orientale,ICEWS,,sub_orientale,
mboki,orientale,ICEWS,,sub_orientale,
ngilima,orientale,ICEWS,,sub_orientale,
nabia,orientale,ICEWS,,sub_orientale,
manogi,orientale,ICEWS,,sub_orientale,
zone de mambasa,orientale,ICEWS,,sub_orientale,
bangadi,orientale,ICEWS,,sub_orientale,
golu,orientale,ICEWS,,sub_orientale,
wawa,orientale,ICEWS,,sub_orientale,
zone de watsa,orientale,ICEWS,,sub_orientale,
limo,orientale,ICEWS,,sub_orientale,
mazamba,orientale,ICEWS,,sub_orientale,
gambela,orientale,ICEWS,,sub_orientale,
dahia,orientale,ICEWS,,sub_orientale,
binya,orientale,ICEWS,,sub_orientale,
nambisa,orientale,ICEWS,,sub_orientale,
loga,orientale,ICEWS,,sub_orientale,
buta,orientale,Wiki,,sub_orientale,
ituri,orientale,Wiki_new,,sub_orientale,
haut-uele,orientale,Wiki_new,,sub_orientale,
