"","story_id","rf_2021","svm_2021","nnet_2021"
"1","18938869northkivu","1","1","1"
"2","18938869southkivu","0","0","0"
"3","11251110orientale","1","1","1"
"4","22470197katanga","0","0","0"
"5","22470197northkivu","1","1","1"
"6","3919569bascongo","1","0","0"
"7","23139516northkivu","1","1","1"
"8","20669206northkivu","1","1","1"
"9","4590482kinshasa","0","0","0"
"10","4590482orientale","1","1","1"
"11","23411510orientale","1","1","1"
"12","23166333northkivu","1","1","1"
"13","8766206northkivu","1","1","1"
"14","8766206southkivu","0","0","0"
"15","2114467katanga","1","1","1"
"16","24235767northkivu","1","1","1"
"17","24235767southkivu","0","0","0"
"18","10570104maniema","1","1","1"
"19","10570104orientale","1","1","1"
"20","10220164kinshasa","0","0","0"
"21","10220164northkivu","1","1","1"
"22","10220164southkivu","0","0","0"
"23","11407011kinshasa","0","0","0"
"24","11407011northkivu","1","1","1"
"25","33349339kinshasa","1","1","1"
"26","18930070kasaioccidental","0","0","0"
"27","18930070kinshasa","0","0","0"
"28","18930070northkivu","1","1","1"
"29","18930070southkivu","0","0","0"
"30","10672170bascongo","1","1","1"
"31","10672170kasaioriental","0","0","0"
"32","10672170kinshasa","0","0","0"
"33","10672170orientale","0","0","0"
"34","16273884kinshasa","1","1","1"
"35","16273884northkivu","0","0","0"
"36","10041649northkivu","1","0","0"
"37","22319390northkivu","1","1","1"
"38","24399875southkivu","1","1","1"
"39","3269930kinshasa","1","1","1"
"40","17850280kinshasa","0","0","0"
"41","17850280northkivu","1","1","1"
"42","7793830orientale","1","1","1"
"43","23250003orientale","1","1","1"
"44","35187135kinshasa","1","0","0"
"45","24469805northkivu","1","1","1"
"46","24469805southkivu","1","0","1"
"47","17034238northkivu","1","1","1"
"48","10282560northkivu","1","1","1"
"49","24426634northkivu","1","1","0"
"50","24426634southkivu","1","0","1"
"51","16156974northkivu","1","1","1"
"52","16156974orientale","0","0","0"
"53","17899878northkivu","1","1","1"
"54","8973439northkivu","1","1","1"
"55","8973439orientale","1","1","1"
"56","5603539katanga","0","0","0"
"57","5603539kinshasa","0","0","0"
"58","5603539maniema","0","0","0"
"59","5603539northkivu","0","0","0"
"60","5603539orientale","0","0","1"
"61","5603539southkivu","1","1","1"
"62","25814682katanga","0","0","0"
"63","25814682kinshasa","0","0","0"
"64","25814682southkivu","1","1","1"
"65","20594626orientale","1","1","1"
"66","5155364kinshasa","0","0","0"
"67","7819621kinshasa","0","0","0"
"68","26202035northkivu","1","1","1"
"69","26202035southkivu","0","0","0"
"70","34811257northkivu","1","1","1"
"71","2993905kinshasa","0","1","1"
"72","10061864northkivu","0","0","0"
"73","10061864orientale","1","1","1"
"74","24132932northkivu","1","1","1"
"75","22357634kinshasa","0","0","0"
"76","22357634northkivu","1","1","1"
"77","9241451northkivu","1","1","1"
"78","9241451orientale","0","0","0"
"79","21546518northkivu","1","0","0"
"80","27412811northkivu","1","1","1"
"81","7335199kinshasa","1","0","0"
"82","26496315katanga","0","0","0"
"83","26496315northkivu","1","1","1"
"84","8087880katanga","0","0","0"
"85","8087880kinshasa","0","0","0"
"86","20987365northkivu","0","0","0"
"87","20987365orientale","1","1","1"
"88","18975515kinshasa","1","1","1"
"89","33282887orientale","1","1","1"
"90","25412026kinshasa","0","0","0"
"91","25412026northkivu","1","1","1"
"92","25412026orientale","1","1","1"
"93","34162989kinshasa","1","1","1"
"94","17263756northkivu","1","1","0"
"95","17263756orientale","0","0","0"
"96","121322northkivu","1","1","1"
"97","121322orientale","0","0","0"
"98","26094349kinshasa","0","0","0"
"99","26094349southkivu","1","1","0"
"100","4707942kinshasa","0","0","0"
"101","4707942northkivu","1","1","1"
"102","4707942southkivu","0","0","0"
"103","33999919katanga","1","1","1"
"104","33999919kinshasa","0","0","0"
"105","11121408kasaioccidental","0","0","0"
"106","11121408northkivu","1","1","0"
"107","11121408southkivu","0","0","0"
"108","19984137equateur","1","1","0"
"109","23143056orientale","1","1","1"
"110","11740289northkivu","1","1","1"
"111","34300500kasaioccidental","0","0","0"
"112","34300500orientale","1","0","0"
"113","33759120kinshasa","0","0","0"
"114","33759120northkivu","1","1","1"
"115","4343528kinshasa","1","0","0"
"116","23186682orientale","1","1","1"
"117","18342285northkivu","0","0","0"
"118","18342285southkivu","1","1","1"
"119","24369478orientale","1","1","1"
"120","6570441katanga","1","1","1"
"121","6570441kinshasa","0","0","0"
"122","25597258equateur","0","0","0"
"123","25597258katanga","1","1","1"
"124","25597258kinshasa","0","0","0"
"125","25597258orientale","0","0","0"
"126","25597258southkivu","0","0","0"
"127","34118800northkivu","1","1","1"
"128","15956294kinshasa","0","1","1"
"129","34657224southkivu","1","1","1"
"130","17997106kasaioccidental","0","0","0"
"131","17997106kinshasa","0","0","0"
"132","17997106northkivu","1","1","1"
"133","11913416northkivu","1","1","1"
"134","11913416southkivu","0","0","0"
