"","story_id","rf_2022","svm_2022","nnet_2022"
"1","557072cf421aa92ad8b3e197_3aleppo","1","1","1"
"2","557a9d9f421aa91093c2175b_4rifdimashq","0","1","0"
"3","557b22fc421aa96777739cf2_1aleppo","0","0","0"
"4","557b22fc421aa96777739cf2_1damascus","0","0","0"
"5","557b22fc421aa96777739cf2_1idlib","1","1","1"
"6","557fcf9f421aa94f1da64b78_3rifdimashq","0","1","1"
"7","5580dd43421aa94ef1085356_6;55802726421aa94edeabbe07_6;55801feb421aa94edeabbde1_6aleppo","1","1","1"
"8","5580dd43421aa94ef1085356_6;55802726421aa94edeabbe07_6;55801feb421aa94edeabbde1_6raqqah","1","1","1"
"9","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3aleppo","0","1","0"
"10","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3damascus","1","1","1"
"11","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3quneitra","1","1","1"
"12","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3rifdimashq","1","0","0"
"13","55896823421aa9750300a2f2_4aleppo","1","1","1"
"14","55896823421aa9750300a2f2_4hasakah","0","0","0"
"15","55896823421aa9750300a2f2_4idlib","1","1","1"
"16","55896823421aa9750300a2f2_4raqqah","1","0","0"
"17","559e80bf421aa93dcb76a8bf_6damascus","0","0","0"
"18","559e80bf421aa93dcb76a8bf_6idlib","1","1","1"
"19","559e80bf421aa93dcb76a8bf_6raqqah","0","0","0"
"20","55a02235421aa9097a5d06f1_3aleppo","1","1","1"
"21","55a02235421aa9097a5d06f1_3damascus","0","0","0"
"22","55a02235421aa9097a5d06f1_3daraa","1","1","0"
"23","55a02235421aa9097a5d06f1_3idlib","1","1","1"
"24","55a02235421aa9097a5d06f1_3rifdimashq","1","1","1"
"25","55a02235421aa9097a5d06f1_3suwayda","0","0","0"
"26","55b8c629421aa90a6fee3798_6damascus","0","0","1"
"27","55b8c629421aa90a6fee3798_6quneitra","1","1","1"
"28","55ddb13b421aa94d3d7c25d2_1aleppo","1","1","0"
"29","560046a3421aa94ca454e390_6aleppo","1","1","1"
"30","560046a3421aa94ca454e390_6damascus","0","0","0"
"31","560046a3421aa94ca454e390_6latakia","1","1","1"
"32","560a7e5d421aa97afef2b303_0aleppo","1","1","1"
"33","560a7e5d421aa97afef2b303_0damascus","0","0","0"
"34","561513f9421aa97b0ab310f1_0aleppo","1","1","1"
"35","561513f9421aa97b0ab310f1_0damascus","0","0","0"
"36","561513f9421aa97b0ab310f1_0hama","1","1","1"
"37","561513f9421aa97b0ab310f1_0idlib","1","1","1"
"38","56179e8c421aa97af005dead_4;5617e78b421aa97adc28662e_5aleppo","1","1","1"
"39","56179e8c421aa97af005dead_4;5617e78b421aa97adc28662e_5raqqah","0","0","0"
"40","56192248421aa97ab4ed05c1_0damascus","0","0","0"
"41","56192248421aa97ab4ed05c1_0hama","1","1","1"
"42","56192248421aa97ab4ed05c1_0idlib","1","0","0"
"43","5618a5bc421aa97adc28691f_3aleppo","1","1","1"
"44","56211841421aa972710ac7cd_3;5621195e421aa97291f8ad6a_0;5621672b421aa9724a6624f2_6;56211672421aa972418acdcd_0;56211961421aa972265a84e8_0;56211af1421aa97278634704_3aleppo","1","1","1"
"45","56251fa4421aa9723c50372e_0aleppo","1","1","1"
"46","56251fa4421aa9723c50372e_0damascus","0","0","0"
"47","56251fa4421aa9723c50372e_0hama","0","0","0"
"48","56251fa4421aa9723c50372e_0idlib","0","0","0"
"49","56251fa4421aa9723c50372e_0latakia","0","0","0"
"50","5627d3e7421aa91d7c23b91d_6damascus","0","1","0"
"51","5636f566421aa97c060b1510_4damascus","1","1","1"
"52","5636f566421aa97c060b1510_4rifdimashq","1","1","1"
"53","563b7f6e421aa977f5b40d49_2aleppo","1","1","1"
"54","563b7f6e421aa977f5b40d49_2damascus","0","0","0"
"55","563b7f6e421aa977f5b40d49_2hama","1","1","1"
"56","563fdb3d421aa91e87791e9a_5aleppo","1","1","1"
"57","563fdb3d421aa91e87791e9a_5damascus","0","0","0"
"58","563fdb3d421aa91e87791e9a_5hama","0","0","0"
"59","563fdb3d421aa91e87791e9a_5idlib","0","0","0"
"60","563fdb3d421aa91e87791e9a_5raqqah","0","0","0"
"61","56429457421aa95371bdbef8_6aleppo","1","1","1"
"62","56429457421aa95371bdbef8_6damascus","1","0","1"
"63","56429457421aa95371bdbef8_6raqqah","1","1","1"
"64","56429bc6421aa9537028264d_0aleppo","1","1","0"
"65","56429bc6421aa9537028264d_0raqqah","1","1","1"
"66","5665f6ec421aa96629c77d74_4damascus","0","0","0"
"67","5665f6ec421aa96629c77d74_4daraa","0","0","0"
"68","5665f6ec421aa96629c77d74_4deirezzor","1","1","1"
"69","5665f6ec421aa96629c77d74_4hasakah","0","0","0"
"70","5665f6ec421aa96629c77d74_4raqqah","0","0","0"
"71","567f1ff4421aa92039820aa6_5damascus","1","1","1"
"72","568025b3421aa97b2dfc53a9_1damascus","1","1","0"
"73","567ff9f9421aa971531d5018_3aleppo","0","0","0"
"74","567ff9f9421aa971531d5018_3damascus","1","1","1"
"75","567ff9f9421aa971531d5018_3quneitra","0","0","0"
"76","567ff9f9421aa971531d5018_3rifdimashq","1","0","0"
"77","56842c01421aa97026c38edc_5damascus","1","1","1"
"78","56842c01421aa97026c38edc_5daraa","1","1","1"
"79","56b48e3c421aa977cb8d94de_0aleppo","1","1","1"
"80","56b48e3c421aa977cb8d94de_0damascus","0","0","0"
"81","56b48e3c421aa977cb8d94de_0daraa","0","0","0"
"82","56bd6821421aa93849a88df9_1aleppo","1","1","1"
"83","56bd6821421aa93849a88df9_1daraa","1","1","1"
"84","56bd6821421aa93849a88df9_1latakia","0","0","0"
"85","56bee6ff421aa94e4ae7df15_6aleppo","1","1","1"
"86","56bee6ff421aa94e4ae7df15_6damascus","1","1","1"
"87","56dde507421aa9245895843b_1idlib","1","1","1"
"88","56e69945421aa945e4171cb1_5damascus","0","0","0"
"89","56e69945421aa945e4171cb1_5raqqah","1","1","1"
"90","56e966a6421aa948998b3493_4aleppo","1","1","0"
"91","56e966a6421aa948998b3493_4deirezzor","1","1","1"
"92","56f2dd5e421aa9441fdb786d_3homs","1","1","0"
"93","56f92ae3421aa90e67a4af6f_0;56f90e02421aa90408c5c920_0;56f8db28421aa96e32c5f83b_0homs","1","1","0"
"94","56f96472421aa9271834d3d9_0deirezzor","1","1","1"
"95","56f96472421aa9271834d3d9_0homs","0","0","0"
"96","56f96472421aa9271834d3d9_0raqqah","1","1","1"
"97","57053f09421aa972542b6e8a_0aleppo","1","1","1"
"98","57053f09421aa972542b6e8a_0damascus","0","1","1"
"99","57053f09421aa972542b6e8a_0homs","1","0","0"
"100","57053f09421aa972542b6e8a_0raqqah","0","0","0"
"101","570563ac421aa97c1970cd12_1aleppo","1","1","1"
"102","570563ac421aa97c1970cd12_1damascus","0","0","0"
"103","570563ac421aa97c1970cd12_1idlib","0","1","1"
"104","570c8f91421aa91975940e1f_0aleppo","1","1","1"
"105","570c8f91421aa91975940e1f_0damascus","0","0","0"
"106","570c8f91421aa91975940e1f_0hama","0","0","0"
"107","570c8f91421aa91975940e1f_0latakia","0","0","0"
"108","5710be6b421aa92426f3fbae_4aleppo","1","1","1"
"109","5728fb9d421aa972625d9301_4aleppo","1","1","1"
"110","5728fb9d421aa972625d9301_4damascus","0","0","0"
"111","5729ca91421aa943ddb62d24_1;5729ad17421aa92f5e122e2b_1aleppo","1","1","1"
"112","5783933d421aa96704a1a3c5_0aleppo","1","1","1"
"113","5783933d421aa96704a1a3c5_0idlib","1","1","1"
"114","5783e38f421aa906e0af416b_3aleppo","1","1","1"
"115","5783e38f421aa906e0af416b_3damascus","0","0","0"
"116","5783e38f421aa906e0af416b_3hama","0","0","0"
"117","5783e38f421aa906e0af416b_3raqqah","1","1","1"
