"","story_id","rf_2023","svm_2023","nnet_2023"
"1","556b47e5421aa919bc579b4f_0aleppo","0.96","0.925820046077518","0.983860958495336"
"2","5575baf5421aa91c7c502207_1idlib","0.992","0.787916678721163","0.998484731548497"
"3","55806feb421aa94f1148b650_1rifdimashq","0.983","0.950833981802825","0.999320987270061"
"4","5589b122421aa9750300aaa0_0aleppo","0.707","0.808527230871183","0.728443887988074"
"5","5589b122421aa9750300aaa0_0daraa","0.707","0.876641240021772","0.755156654983845"
"6","5589b122421aa9750300aaa0_0idlib","0.476","0.370162731841135","0.714801310097435"
"7","558bcc46421aa912f5ca70fc_6aleppo","0.284","0.110193832305496","0.0445620205887814"
"8","558bcc46421aa912f5ca70fc_6damascus","0.365","0.19754111815304","0.197643391626437"
"9","558bcc46421aa912f5ca70fc_6daraa","0.875","0.91474655078186","0.429652737466742"
"10","558bcc46421aa912f5ca70fc_6hasakah","0.658","0.752327631445611","0.917404208678391"
"11","558bcc46421aa912f5ca70fc_6quneitra","0.385","0.133937867906387","0.19850256954429"
"12","558bcc46421aa912f5ca70fc_6raqqah","0.615","0.650294713250811","0.908061463093143"
"13","55991029421aa92762602b7b_6damascus","0.481","0.653429429261695","0.836788505783936"
"14","55991029421aa92762602b7b_6raqqah","0.268","0.173251730105004","0.280272883140409"
"15","55991029421aa92762602b7b_6rifdimashq","0.479","0.35903249374605","0.504922894329565"
"16","55a0f079421aa9098d117862_1aleppo","0.804","0.854837691691991","0.530568364868706"
"17","55a79c3b421aa909ce71ee65_4aleppo","0.966","0.935393204505563","0.987666842242681"
"18","55a79c3b421aa909ce71ee65_4idlib","0.753","0.821282368549965","0.98881199875884"
"19","55a79c3b421aa909ce71ee65_4rifdimashq","0.571","0.423057851912307","0.950405530250754"
"20","55ddde7d421aa95dd96a94da_1damascus","0.013","0.129662913769611","0.0392903468824396"
"21","55ddde7d421aa95dd96a94da_1hama","0.121","0.131830086575199","0.0679354160898886"
"22","55ddde7d421aa95dd96a94da_1idlib","0.201","0.186833453153907","0.101940495060761"
"23","55ddde7d421aa95dd96a94da_1latakia","0.981","0.900698234452087","0.988879680770492"
"24","561238e8421aa97b242437b9_4;56124780421aa97ab98a71ab_4idlib","0.808","0.90993584384786","0.840518733311631"
"25","561238e8421aa97b242437b9_4;56124780421aa97ab98a71ab_4latakia","0.54","0.29128015774762","0.563449077663736"
"26","5615ef0b421aa97b35ad6ba1_6aleppo","0.948","0.856772949965504","0.997764890204365"
"27","5615ef0b421aa97b35ad6ba1_6damascus","0.315","0.182466294472136","0.269070356975797"
"28","5615ef0b421aa97b35ad6ba1_6hama","0.891","0.868838374253022","0.996846792602095"
"29","5615ef0b421aa97b35ad6ba1_6idlib","0.741","0.848297149445339","0.954565230528435"
"30","5615ef0b421aa97b35ad6ba1_6raqqah","0.349","0.171403966690738","0.0557517749018713"
"31","5616bc0c421aa97afef2e2b0_0damascus","0.552","0.517125992202214","0.969698985297722"
"32","5616bc0c421aa97afef2e2b0_0hama","0.687","0.795333066111236","0.855053003170652"
"33","5616bc0c421aa97afef2e2b0_0rifdimashq","0.848","0.974001821777242","0.967973218743427"
"34","56161386421aa97afef2df5c_4hama","0.686","0.780721224883553","0.0998162544081348"
