"","id","original","machine.predicted.rf","machine.predicted.svm","machine.predicted.nnet","machine.probabilities.rf","machine.probabilities.svm","machine.probabilities.nnet"
"1","556b47e5421aa919bc579b4f_0aleppo","1","1","1","1","0.974333333333333","0.897528435845987","0.987626452341937"
"2","557060db421aa92b0a726aef_1aleppo","1","0","0","0","0.310666666666667","0.145529515570143","0.386774462220605"
"3","557072cf421aa92ad8b3e197_3aleppo","1","1","1","1","0.979333333333333","0.759720536841309","0.996822503405484"
"4","5575baf5421aa91c7c502207_1idlib","1","1","1","1","0.996","0.833526911637082","0.99802859917582"
"5","5578a726421aa910eb36146c_0damascus","0","0","0","0","0.341666666666667","0.363133026429637","0.183233025603945"
"6","55806feb421aa94f1148b650_1rifdimashq","1","1","1","1","0.992333333333333","0.953709742257806","0.999460960110773"
"7","557060db421aa92b0a726aef_1daraa","1","0","0","0","0.359333333333333","0.342824513093926","0.128580334278036"
"8","557a9d9f421aa91093c2175b_4rifdimashq","1","0","1","1","0.381","0.607367426388809","0.59458260140866"
"9","557b22fc421aa96777739cf2_1aleppo","0","0","0","0","0.126666666666667","0.0904392658710349","0.114403990005063"
"10","5580dd43421aa94ef1085356_6;55802726421aa94edeabbe07_6;55801feb421aa94edeabbde1_6aleppo","0","1","1","1","0.884333333333333","0.846123488778767","0.899514691981965"
"11","557060db421aa92b0a726aef_1idlib","1","1","1","1","0.961666666666667","0.947123220776308","0.9612052965497"
"12","557b22fc421aa96777739cf2_1damascus","0","0","0","0","0.298333333333333","0.110537057900886","0.132990953458663"
"13","557fcf9f421aa94f1da64b78_3rifdimashq","1","0","1","1","0.432666666666667","0.792602553711757","0.820432831856187"
"14","5580dd43421aa94ef1085356_6;55802726421aa94edeabbe07_6;55801feb421aa94edeabbde1_6raqqah","1","1","1","1","0.908","0.853715646833461","0.707647840304638"
"15","557060db421aa92b0a726aef_1suwayda","1","1","1","1","0.875666666666667","0.878484257171139","0.648133944136788"
"16","5589b122421aa9750300aaa0_0aleppo","1","1","1","0","0.661666666666667","0.663132081121488","0.46933239976113"
"17","557b22fc421aa96777739cf2_1idlib","1","1","1","1","0.856666666666667","0.811834215320362","0.976966110920877"
"18","55a02235421aa9097a5d06f1_3aleppo","1","1","1","1","0.837333333333333","0.909362931239462","0.8510513256364"
"19","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3aleppo","0","1","1","1","0.710666666666667","0.723647713220833","0.814457981500737"
"20","5589b122421aa9750300aaa0_0daraa","1","1","1","1","0.687333333333333","0.879856019611456","0.783145962931351"
"21","557c3146421aa94cd5c6f6dd_1rifdimashq","1","1","1","1","0.955","0.893224671504846","0.992295727994144"
"22","55a02235421aa9097a5d06f1_3damascus","0","0","0","0","0.362666666666667","0.178430983055035","0.381951226317379"
"23","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3damascus","1","1","1","1","0.824666666666667","0.877360608392809","0.915697767736091"
"24","5589b122421aa9750300aaa0_0idlib","1","1","0","0","0.503666666666667","0.351021458190066","0.458377988552663"
"25","55a02235421aa9097a5d06f1_3daraa","1","1","1","1","0.633333333333333","0.636321035484625","0.511017392699822"
"26","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3quneitra","1","1","1","1","0.851666666666667","0.897594241999357","0.956066538906958"
"27","5580aa41421aa94f026a719e_0daraa","1","1","1","1","0.978333333333333","0.89443541488219","0.850198899105795"
"28","55991029421aa92762602b7b_6damascus","1","1","1","1","0.581666666666667","0.769235963070041","0.6969977319767"
"29","55a02235421aa9097a5d06f1_3idlib","0","1","1","1","0.603666666666667","0.707848320745798","0.646910610662934"
"30","55817ed7421aa94f564d95ce_0;5581618e421aa94f07838be1_2;5581862b421aa94f1148b987_3rifdimashq","1","1","0","1","0.539333333333333","0.46151430331774","0.555276337191965"
"31","558bcc46421aa912f5ca70fc_6aleppo","0","0","0","0","0.178666666666667","0.0995984702974596","0.0701926373847794"
"32","55896823421aa9750300a2f2_4aleppo","1","1","1","1","0.912","0.923579084623845","0.840645027215893"
"33","55991029421aa92762602b7b_6raqqah","1","0","0","0","0.296666666666667","0.140900662934858","0.250298931075099"
"34","55a02235421aa9097a5d06f1_3rifdimashq","0","1","1","1","0.813666666666667","0.925787694684816","0.748551097555626"
"35","558bcc46421aa912f5ca70fc_6damascus","0","0","0","0","0.440333333333333","0.210914083118011","0.0955848661216829"
"36","55b91b61421aa96ecf85545f_6damascus","0","0","0","0","0.418333333333333","0.19254299425008","0.0135300862912201"
"37","55896823421aa9750300a2f2_4hasakah","1","0","0","0","0.183666666666667","0.124043935728469","0.217610083105298"
"38","55991029421aa92762602b7b_6rifdimashq","1","0","0","0","0.490333333333333","0.423756048651078","0.32820572764239"
"39","55a02235421aa9097a5d06f1_3suwayda","0","0","0","0","0.255666666666667","0.141939816858878","0.221411531063088"
"40","558bcc46421aa912f5ca70fc_6daraa","1","1","1","1","0.886","0.886543379593692","0.738150678640385"
