"","story_id","id","province_human","province_oeda","cleantext"
"1","1079932_v0.2.0","556b47e5421aa919bc579b4f_0","aleppo , homs ","aleppo"," ACTAR  drop explos devic on  ACTAR  in crowd market and  ADMINN .   ACTAR  drop barrel AVERB on  market and anoth  ACTAR   ADMINN  of aleppo  ADMINN  AVERB N people.  barrel pack  explos and shrapnel  drop on  crowd market in   ADMINN  of sub_aleppo and  on sub_aleppo   ACTAR   ADMINN  of   ADMINN  of aleppo.  AVERB AVERB N shopper in sub_aleppo.   ADMINN  now AVERB by  ACTAR  .  ACTAR .    N  ACTAR   AVERB in sub_aleppo includ women and children from   famili   ACTAR  observatori for human right NONTOPIC. photograph and video show bloodi corps in  rubbl of build  panicstricken  ACTAR  search for love ones.    N  of  biggest massacr  regim plane  commit sinc  begin of N NONTOPIC   ACTAR  revolut general commiss   ACTAR . though  high AVERB toll yesterday  notabl  way   inflict  .  barrel AVERB AVERB  becom commonplac for resid of  ACTAR AVERB aleppo. meanwhil  ACTAR   establish   ACTAR  of antiqu to maximis  profit from loot priceless artefact across  territori  controls.  trade  rais  N  of  N  of dollar for  ACTAR .  sum compar to  profit  terrorist  made by  kidnap and ransom of  DIRECTZ  hostages. sinc  lightn sweep   ACTAR  and  ACTAR  last year  ACTAR   sought to transform    organis capabl of rule   state set   elabor hierarchi of leadership and ministries.   elsewher in  middl  DIRECTZ   ACTAR  of  kind tri to protect antiqu  ACTAR   version  establish to pillag and smuggl  treasur in  territori replet  classic ruins.  happen upon  preexist situat of loot and turn    high organis trade NONTOPIC amr alazm  former  ACTAR  in   ACTAR  antiqu  ACTAR   now run  network of archaeologist and  ACTAR  to document  destruct of  countri  treasures. in  ACTAR    ACTAR   desecr and loot  assyrian remain at mosul nimrud and hatra. last  MONZ   AVERB  roman  ADMINN  of sub_hom in  ACTAR  rais fear    MONZ  suffer   treatment.   ACTAR  set   selfNONTOPIC islam caliph  impos  N per cent tax on loot antiquities.   ACTAR   tri to gain AVERB of  trade by regul access to ancient sites. in   ADMINN   ACTAR    contract to carri out dig help by local archaeologist  identifi   lucrat sites. assad regim  rain of terror. barrel AVERB  normal roll out of  ACTAR  helicopt hover   ACTAR held cities. use of  unguid weapon break intern humanitarian law.  unit nation resolut pass in februari last year NONTOPIC use of barrel AVERB illeg and  DAYZ eaten retali   ACTAR   regim continu use .   N  ACTAR   sinc  AVERB by  bombs. amnesti intern believ  regim   embolden by  lack of repercussions.  inaccuraci of barrel AVERB mean helicopt rare drop  close to frontlin for fear of AVERB   men. instead  spread fear and chao among  ACTAR  in  ADMINN    ACTAR  AVERB.  assad regim deni use barrel AVERB despit  N  of fatal hour of video footag and innumer eyewit accounts."
"2","1086370_v0.2.0","556d953b421aa90a57070272_4","no_loc","no_loc"," nusra front claim    AVERB  N   ACTAR  and confisc  weapon in  AVERB on  N  of   ACTAR   outpost near arsal  outskirts."
"3","1091606_v0.2.0","557072cf421aa92ad8b3e197_3","aleppo ","aleppo"," at least N  ACTAR  includ  N  children  AVERB on  DAYZ    ACTAR  regim helicopt drop explos barrel on   DIRECTZ   ACTAR   ADMINN  of aleppo accord to   ACTAR  observatori for human right . sohr.  explos barrel AVERB  N   ACTAR  includ  N  children from  N  famili in   ADMINN  of sub_aleppo in   DIRECTZ  countrysid  sohr reported. at   time  N   ACTAR  includ  N  children and  woman  AVERB by aerial AVERB on der jamal  ADMINN  in   DIRECTZ  countrysid  ngo added.  ACTAR  regim aircraft also target   ADMINN  in  DIRECTZ  aleppo on  DAYZ  morn includ tal refat and sub_aleppo   casualti  reported.  ACTAR   ACTAR  from differ faction  concentr in sub_aleppo    combat  ACTAR   AVERB in   DIRECTZ  part of aleppo."
"4","1093225_v0.2.0","557060db421aa92b0a726aef_1","idlib, aleppo, suwayda , daraa","no_loc","at least N takfiri  ACTAR    AVERB in  seri of oper by  ACTAR  troop in   DIRECTZ  idlib province.  ACTAR  conduct largescal oper  DAYZ oughout   ADMINN  AVERB full AVERB of tal ghazal and tal       awar hilltop and   ADMINN  of sub_idlib and sub_idlib in idlib  ACTAR  arab news agenc . sana.   SOURZ  on  DAYZ .  ACTAR  AVERB  ACTAR  posit and AVERB  number of mortar launcher and vehicl arm  heavi machin gun in idlib   SOURZ  NONTOPIC. meanwhil  ACTAR  AVERB  unknown number of  ACTAR  affili   alqaedalink nusra front in busra alsham  ADMINN  in   DIRECTZ   ADMINN  of daraa.  . in anoth develop  ACTAR  forc AVERB  number of  ACTAR  takfiri hideout and vehicl near   ACTAR  academi in   DIRECTZ  aleppo province. moreov   ACTAR  unit carri out AVERB    ACTAR  posit on   DIRECTZ  side of  fodder center in sub_suwayda  ADMINN  in   DIRECTZ  suwayda  ADMINN  AVERB score of  ACTAR    ACTAR  sourc NONTOPIC sana  DAYZ .  ACTAR    grip by crisi sinc  MONZ  N.   N  ACTAR    AVERB in  chao accord to  ACTAR   SOURZ .  N.N  AVERB  ACTAR   AVERB  unrest to neighbor countri name jordan and  ACTAR  and   N.N  other  becom intern AVERB accord to  unit nations."
"5","1105509_v0.2.0","5575baf5421aa91c7c502207_1","idlib ","no_loc","raid AVERB squar in  ADMINN  of sub_idlib in  DIRECTZ  of idlib  ADMINN    now almost complet AVERB by  ACTAR  forces.  ACTAR . at least N  ACTAR  includ  N  children  AVERB on  DAYZ day in  ACTAR  AVERB on   ADMINN  in idlib  ADMINN  in  countri   DIRECTZ    DAYZ itor  ACTAR  NONTOPIC.   ACTAR  observatori for human right NONTOPIC  raid AVERB  squar in   ADMINN  of sub_idlib in   DIRECTZ  of   ADMINN    now almost complet AVERB by  ACTAR  forces.    public squar and  lot of  ACTAR  gather     shop NONTOPIC observatori director rami abdel rahman.  NONTOPIC   ACTAR  AVERB from   ADMINN  of idlib  ADMINN   also sought refug in sub_idlib. regim  ACTAR  aircraft fire missil on   ADMINN   NONTOPIC. video upload on  youtub websit by  ACTAR  show absolut chao in  aftermath of  AVERB   air thick  grey smoke and dust and  squar scatter   rubbl of build and  bodi part of victims.  N  video show men pick  rubbl next to  twist metal of  mangl minibus   older woman ran past grip  hand of  child.  footag appar film later show member of  local civil defenc forc join  rescu mission and at least  N  bulldoz clear rubbl from  square. sub_idlib     ACTAR  AVERB sinc N  much of idlib  ADMINN    recent AVERB to   ACTAR  allianc  includ alqaeda affili alnusra front. known    ACTAR  of conquest  allianc  swept    ADMINN  sinc AVERB  provinci capit idlib  ADMINN  on  MONZ  N. sinc    taken  key strateg  ADMINN  of jisr alshughur  well   largest  ACTAR  base in  province.  AVERB  left regim forc    hand of posit in  province.    ACTAR   continu to wage war from  air use  convent AVERB and AVERB barrel bombs. NONTOPIC pack  crude explos and shrapnel    condemn by right  ACTAR  for  indiscriminate."
"6","1106938_v0.2.0","5576cd7e421aa91cb31c6eea_5","no_loc","no_loc"," ACTAR   brutal conflict  left   N  ACTAR  AVERB includ almost N children sinc  broke out in N accord to  DAYZ itor  ACTAR .  britainbas  ACTAR  observatori for human right NONTOPIC   document N  ACTAR   casualti of  war in  ACTAR .  toll includ N  ACTAR  among  N children and N women. combat account for  major of  AVERB  N regim forc and N  ACTAR  loyalist among  AVERB.  loyalist  ACTAR  AVERB  most member of local  ACTAR   also includ N from  ACTAR   power shiit movement  ACTAR  and N shiit  ACTAR  from  countries.  observatori document  AVERB of N  ACTAR   ACTAR  and kurdish fighters. antiregim foreign  ACTAR  AVERB number N  of  jihadists. abdel rahman NONTOPIC anoth N of  document AVERB in  conflict remain unidentified.  britainbas observatori reli on  broad network of  ACTAR  and medic across  warravag country.  MONZ    bloodiest  MONZ  of N in  ACTAR   N killed.  major of  regim forc and  ACTAR  lock in fierc AVERB on  N  fronts.  observatori  toll   includ  N  ACTAR    disappear   arrest N  ACTAR  in  ACTAR  detent and at least N  ACTAR  held by   ACTAR   ACTAR .   DAYZ itor  ACTAR  NONTOPIC  N  of  ACTAR   disappear   unaccount for  clashes.   result  observatori estim   conflict  actual AVERB toll  like  N  of  N  higher   figure."
"7","1113312_v0.2.0","5578a726421aa910eb36146c_0","homs","damascus","damascus  MONZ  N . ians.    ACTAR  on  DAYZ nesday AVERB key oil field in  DIRECTZ   ACTAR  follow AVERB    ACTAR  . .   ACTAR   media  SOURZ  NONTOPIC.   ACTAR  forc fulli AVERB  aljisel oil field and   ADMINN     name in   DIRECTZ  countrysid of   DIRECTZ   ADMINN  of hom near  ancient  ADMINN  of sub_hom   overran by    ACTAR  last  MONZ   SOURZ   SOURZ  cite  panarab almayadeen tv.   past  N  day    ACTAR  AVERB   aljisel  ADMINN  and  oil field forc   ACTAR  to call for back  forc  eventu secur   ADMINN  on  DAYZ nesday accord to   SOURZ .  tv NONTOPIC  oil field    affect by  AVERB ad  AVERB  current AVERB place in   DIRECTZ  outskirt of aljisel.  MONZ ar   ACTAR  AVERB at least N   ACTAR  in  bayarat  ADMINN  in  DIRECTZ  hom on  DAYZ nesday accord to   SOURZ .  DAYZ oughout  longrun conflict   ACTAR  lost AVERB of key oil and gas field to    ACTAR  main in  oilrich  ADMINN  of deir alzour in  DIRECTZ   ACTAR ."
"8","1119229_v0.2.0","557a9d9f421aa91093c2175b_4","rifdimashq ","no_loc"," ACTAR  and   ACTAR  AVERB fresh territori from  ACTAR  jihadi outsid   DIRECTZ  sub_rifdimashq  ADMINN  almanar tv reports."
"9","1121174_v0.2.0","557b22fc421aa96777739cf2_1","idlib ","no_loc"," ACTAR  jet  ACTAR   launch  seri of aerial AVERB   stronghold of foreignsponsor  ACTAR  in   DIRECTZ   ADMINN  of idlib AVERB and AVERB  number of takfiri and AVERB  N    SOURZ  tv reports.   ACTAR  sourc speak on condit of anonym NONTOPIC  ACTAR  aircraft pound  terrorist hideout in   ADMINN  of sub_idlib in idlib locat rough N kilomet . N miles.   DIRECTZ  of damascus damascus on  DAYZ day.  unspecifi number of  ACTAR   AVERB in  attacks. similar aerial AVERB  also carri out in   ADMINN  of sub_idlib locat  N kilomet . N miles.   DIRECTZ  of aleppo  well    ADMINN  of sub_idlib sub_idlib sub_idlib and sub_idlib in idlib province.  ACTAR  aircraft also conduct  number of sorti   strateg aljisel oil field in   DIRECTZ   ADMINN  of hom and near  ancient  ADMINN  of sub_hom   overran by  ACTAR  last  MONZ .  warplan target and AVERB  N  of  ACTAR  vehicl   operations. unit of  ACTAR  forc AVERB jisel and AVERB oil facil on  DAYZ nesday follow fierc AVERB   ACTAR  takfiris.  ACTAR   AVERB    ADMINN  and  oil field   past  day prompt   ACTAR  to call in reinforc  eventu secur   ADMINN . moreov  ACTAR  jet AVERB  convoy of vehicl belong to  ACTAR  terrorist in   DIRECTZ  countrysid of hasaka province.  ACTAR    suffer from  AVERB crisi fuel by takfiri  ACTAR  sinc  MONZ  N.  conflict   SOURZ  left   N  ACTAR  includ almost N children AVERB   now."
"10","1122654_v0.2.0","557c3146421aa94cd5c6f6dd_1","rifdimashq ","no_loc"," ACTAR  of   ACTAR  resist movement  ACTAR  and   ACTAR   liber  SOURZ   ADMINN  in  mountain border  ADMINN  of sub_rifdimashq  DIRECTZ  of  ACTAR .  ACTAR       s almanar tv  SOURZ   DAYZ urday   joint forc launch  fresh AVERB on  posit of  alnusra front terrorist oper on  outskirt of   ACTAR   ADMINN  of jaraj in  DIRECTZ  sub_rifdimashq clear  posit of militants.  arabiclanguag channel stop  routin program and air footag show  AVERB of  alli forc in  strateg  ADMINN    locat  N kilomet . N miles.   DIRECTZ  of   ACTAR   ADMINN  of arsal also  hot spot   past  weeks.   SOURZ  NONTOPIC   bulldoz and   ACTAR  vehicl belong to  alnusra terrorist  AVERB in   DAYZ urday operation.  .  AVERB came just  week   joint forc manag to AVERB   ACTAR  border  ADMINN  of flitah  lie   N  kilomet . N.N miles.  from jarajeer.  gain mean    ACTAR  oper in  vicin of arsal  now becom AVERB from  directions.  ACTAR  current AVERB  DIRECTZ  and  DIRECTZ  of arsal    ACTAR  of  takfiri  ACTAR  terrorist  ACTAR   posit on   DIRECTZ  outskirts.   ACTAR    major presenc in arsal  launch occasion AVERB on  ACTAR  in  AVERB areas. on  DAYZ day  ACTAR  forc retook   ADMINN  of qernat shami alhassan in jarajeer.   ACTAR   previous taken AVERB of   ADMINN  of qernat sheab alnosub qernat abu harb and qernat alsama      .  ACTAR  forc  also liber  bloksat height  overse jaraj and arsal.  ACTAR    SOURZ  lost   N percent of  land  previous AVERB in sub_rifdimashq   result of   N  MONZ  long oper by  ACTAR  and   ACTAR  army.  mountain  ADMINN   straddl  lebanese ACTAR  border  previous use by  alnusra front terrorist for transfer weapon and ammunit   ACTAR      involv in terrorist activities."
