sublevel,note,source,domain_replace,governorate
aleppo,governorate,,aleppo,aleppo
Afrin,district,,sub_aleppo,aleppo
Hayan,,,sub_aleppo,aleppo
Hraytan,,,sub_aleppo,aleppo
Taana,,,sub_aleppo,aleppo
Sheikh Said,,,sub_aleppo,aleppo
Afrin Nahiya,subdistrict (town),,sub_aleppo,aleppo
Bulbul Nahiya,subdistrict (town),,sub_aleppo,aleppo
Jindires Nahiya,subdistrict (town),,sub_aleppo,aleppo
Rajo Nahiya,subdistrict (town),,sub_aleppo,aleppo
Sharran Nahiya,subdistrict (town),,sub_aleppo,aleppo
Shaykh al-Hadid Nahiya,subdistrict (town),,sub_aleppo,aleppo
Maabatli Nahiya,subdistrict (town),,sub_aleppo,aleppo
Al-Bab District,district,,sub_aleppo,aleppo
al-Bab,,,sub_aleppo,aleppo
al-Shaar,,,sub_aleppo,aleppo
Hayan,,,sub_aleppo,aleppo
Kobane,,,sub_aleppo,aleppo
Marea,,,sub_aleppo,aleppo
Atarib District,district,,sub_aleppo,aleppo
Atarib,district,,sub_aleppo,aleppo
Ayn al-Arab District,district,,sub_aleppo,aleppo
Ayn al-Arab,district,,sub_aleppo,aleppo
Azaz District,district,,sub_aleppo,aleppo
Azaz,district,,sub_aleppo,aleppo
Dayr Hafir District,district,,sub_aleppo,aleppo
Jarabulus District,district,,sub_aleppo,aleppo
Jarabulus,,,sub_aleppo,aleppo
Jarablus,,,sub_aleppo,aleppo
Manbij District,district,,sub_aleppo,aleppo
Manbij,,,sub_aleppo,aleppo
Mount Simeon District,district,,sub_aleppo,aleppo
Safirah District,district,,sub_aleppo,aleppo
Khanaser,subdistrict (town),,sub_aleppo,aleppo
Haritan (also spelled Huraytan or Hreitan)_,subdistrict (town),,sub_aleppo,aleppo
Sheikh Maksud,subdistrict (town),,sub_aleppo,aleppo
Sheikh Maqsoud,subdistrict (town),,sub_aleppo,aleppo
Kfar Hamra,subdistrict (town),,sub_aleppo,aleppo
Tel al-Ais,subdistrict (town),,sub_aleppo,aleppo
Talet al-Iss,subdistrict (town),,sub_aleppo,aleppo
Zitan,subdistrict (town),,sub_aleppo,aleppo
Zirba,subdistrict (town),,sub_aleppo,aleppo
Khan Touman ,subdistrict (town),,sub_aleppo,aleppo
Kham Touman,,,sub_aleppo,aleppo
Al-Rai,,,sub_aleppo,aleppo
Al-Zahraa,,,sub_aleppo,aleppo
al-Zahra'a,,,sub_aleppo,aleppo
al-Zara,,,sub_aleppo,aleppo
Yaqed al-Adas,,,sub_aleppo,aleppo
Alawite,,,sub_aleppo,aleppo
Tariq al-Bab,,,sub_aleppo,aleppo
Castello Road,,,sub_aleppo,aleppo
Malah,,,sub_aleppo,aleppo
Eiees,,,sub_aleppo,aleppo
